上证指数,000001.SH,上证A指,000002.SH,上证B指,000003.SH,上证380,000009.SH,上证180,000010.SH,上证红利,000015.SH,上证50,000016.SH,沪深300,000300.SH,中证1000,000852.SH,中证100,000903.SH,中证500,000905.SH,中证800,000906.SH,深证成指,399001.SZ,深证100R,399004.SZ,中小板指,399005.SZ,创业板指,399006.SZ,中小300,399008.SZ,创业300,399012.SZ,中小板综,399101.SZ,创业板综,399102.SZ,深证综指,399106.SZ,深证A指,399107.SZ,深证B指,399108.SZ,深证100,399330.SZ,深证300R,399344.SZ
2020-09-18 09:30,3272.8091,2020-09-18 09:30,3430.0604,2020-09-18 09:30,249.5639,2020-09-18 09:30,5752.5647,2020-09-18 09:30,9653.1071,2020-09-18 09:30,2598.6596,2020-09-18 09:30,3269.8549,2020-09-18 09:30,4639.2916,2020-09-18 09:30,6827.0522,2020-09-18 09:30,4678.8095,2020-09-18 09:30,6373.7169,2020-09-18 09:30,4924.5655,2020-09-18 09:30,13033.7702,2020-09-18 09:30,7656.4857,2020-09-18 09:30,8681.0852,2020-09-18 09:30,2563.6095,2020-09-18 09:30,1628.5535,2020-09-18 09:30,3611.0541,2020-09-18 09:30,12234.8128,2020-09-18 09:30,3010.4333,2020-09-18 09:30,2188.5408,2020-09-18 09:30,2290.4430,2020-09-18 09:30,953.0218,2020-09-18 09:30,5892.5620,2020-09-18 09:30,6809.0401
2020-09-18 09:31,3269.7631,2020-09-18 09:31,3426.8609,2020-09-18 09:31,249.6068,2020-09-18 09:31,5747.9794,2020-09-18 09:31,9642.4489,2020-09-18 09:31,2594.3597,2020-09-18 09:31,3265.2201,2020-09-18 09:31,4634.3091,2020-09-18 09:31,6820.7445,2020-09-18 09:31,4672.7602,2020-09-18 09:31,6370.6713,2020-09-18 09:31,4919.9950,2020-09-18 09:31,13019.5116,2020-09-18 09:31,7646.5102,2020-09-18 09:31,8676.5996,2020-09-18 09:31,2560.3619,2020-09-18 09:31,1627.9149,2020-09-18 09:31,3605.6638,2020-09-18 09:31,12229.5568,2020-09-18 09:31,3006.1942,2020-09-18 09:31,2186.2026,2020-09-18 09:31,2287.9936,2020-09-18 09:31,952.6080,2020-09-18 09:31,5884.8847,2020-09-18 09:31,6801.1289
2020-09-18 09:32,3270.4345,2020-09-18 09:32,3427.5671,2020-09-18 09:32,249.5594,2020-09-18 09:32,5751.9597,2020-09-18 09:32,9645.9805,2020-09-18 09:32,2594.0411,2020-09-18 09:32,3266.7946,2020-09-18 09:32,4635.9338,2020-09-18 09:32,6825.9661,2020-09-18 09:32,4672.3425,2020-09-18 09:32,6371.8783,2020-09-18 09:32,4921.5258,2020-09-18 09:32,13023.1574,2020-09-18 09:32,7649.2467,2020-09-18 09:32,8680.9148,2020-09-18 09:32,2562.2518,2020-09-18 09:32,1628.6734,2020-09-18 09:32,3608.2369,2020-09-18 09:32,12234.9737,2020-09-18 09:32,3008.6927,2020-09-18 09:32,2186.7449,2020-09-18 09:32,2288.5619,2020-09-18 09:32,952.6534,2020-09-18 09:32,5886.9908,2020-09-18 09:32,6803.0466
2020-09-18 09:33,3269.4140,2020-09-18 09:33,3426.4881,2020-09-18 09:33,249.8414,2020-09-18 09:33,5748.4824,2020-09-18 09:33,9640.2489,2020-09-18 09:33,2593.5787,2020-09-18 09:33,3264.8960,2020-09-18 09:33,4632.8691,2020-09-18 09:33,6820.7316,2020-09-18 09:33,4669.3769,2020-09-18 09:33,6369.4089,2020-09-18 09:33,4918.6018,2020-09-18 09:33,13013.6817,2020-09-18 09:33,7642.8897,2020-09-18 09:33,8680.4188,2020-09-18 09:33,2557.4493,2020-09-18 09:33,1628.2728,2020-09-18 09:33,3602.4840,2020-09-18 09:33,12232.5552,2020-09-18 09:33,3003.8778,2020-09-18 09:33,2185.2319,2020-09-18 09:33,2286.9787,2020-09-18 09:33,951.9154,2020-09-18 09:33,5882.0983,2020-09-18 09:33,6798.0154
2020-09-18 09:34,3272.7100,2020-09-18 09:34,3429.9506,2020-09-18 09:34,249.7846,2020-09-18 09:34,5752.2720,2020-09-18 09:34,9653.0124,2020-09-18 09:34,2595.4297,2020-09-18 09:34,3269.8083,2020-09-18 09:34,4638.6302,2020-09-18 09:34,6822.7224,2020-09-18 09:34,4675.3037,2020-09-18 09:34,6376.1995,2020-09-18 09:34,4924.5046,2020-09-18 09:34,13029.5026,2020-09-18 09:34,7651.0716,2020-09-18 09:34,8694.6640,2020-09-18 09:34,2560.7632,2020-09-18 09:34,1630.5624,2020-09-18 09:34,3605.9289,2020-09-18 09:34,12246.4461,2020-09-18 09:34,3005.6072,2020-09-18 09:34,2186.7469,2020-09-18 09:34,2288.5702,2020-09-18 09:34,951.0176,2020-09-18 09:34,5888.3952,2020-09-18 09:34,6806.9618
2020-09-18 09:35,3272.8073,2020-09-18 09:35,3430.0537,2020-09-18 09:35,249.7490,2020-09-18 09:35,5749.9425,2020-09-18 09:35,9653.3890,2020-09-18 09:35,2596.1832,2020-09-18 09:35,3268.9799,2020-09-18 09:35,4639.2252,2020-09-18 09:35,6825.3767,2020-09-18 09:35,4674.9586,2020-09-18 09:35,6373.4980,2020-09-18 09:35,4924.4709,2020-09-18 09:35,13031.6739,2020-09-18 09:35,7652.8871,2020-09-18 09:35,8693.2331,2020-09-18 09:35,2560.5956,2020-09-18 09:35,1630.4289,2020-09-18 09:35,3606.8510,2020-09-18 09:35,12246.0068,2020-09-18 09:35,3006.5356,2020-09-18 09:35,2187.0782,2020-09-18 09:35,2288.9159,2020-09-18 09:35,951.4339,2020-09-18 09:35,5889.7925,2020-09-18 09:35,6807.6424
2020-09-18 09:36,3277.5181,2020-09-18 09:36,3435.0082,2020-09-18 09:36,249.4466,2020-09-18 09:36,5758.8278,2020-09-18 09:36,9664.9751,2020-09-18 09:36,2598.8274,2020-09-18 09:36,3272.5036,2020-09-18 09:36,4646.7087,2020-09-18 09:36,6840.4230,2020-09-18 09:36,4682.1179,2020-09-18 09:36,6384.8365,2020-09-18 09:36,4932.6145,2020-09-18 09:36,13060.9837,2020-09-18 09:36,7669.8873,2020-09-18 09:36,8714.7324,2020-09-18 09:36,2567.1424,2020-09-18 09:36,1634.2011,2020-09-18 09:36,3615.9273,2020-09-18 09:36,12270.4952,2020-09-18 09:36,3013.5331,2020-09-18 09:36,2191.5386,2020-09-18 09:36,2293.5914,2020-09-18 09:36,951.4349,2020-09-18 09:36,5902.8761,2020-09-18 09:36,6822.9354
2020-09-18 09:37,3278.3132,2020-09-18 09:37,3435.8377,2020-09-18 09:37,249.6494,2020-09-18 09:37,5762.8550,2020-09-18 09:37,9668.4808,2020-09-18 09:37,2597.8948,2020-09-18 09:37,3273.9225,2020-09-18 09:37,4647.5395,2020-09-18 09:37,6846.5801,2020-09-18 09:37,4683.9407,2020-09-18 09:37,6387.2581,2020-09-18 09:37,4933.7384,2020-09-18 09:37,13062.5292,2020-09-18 09:37,7669.2217,2020-09-18 09:37,8713.4039,2020-09-18 09:37,2568.0889,2020-09-18 09:37,1634.4713,2020-09-18 09:37,3618.2442,2020-09-18 09:37,12274.9822,2020-09-18 09:37,3015.9246,2020-09-18 09:37,2192.3942,2020-09-18 09:37,2294.4848,2020-09-18 09:37,952.3450,2020-09-18 09:37,5902.3639,2020-09-18 09:37,6822.9728
2020-09-18 09:38,3281.7958,2020-09-18 09:38,3439.4987,2020-09-18 09:38,249.4912,2020-09-18 09:38,5771.8849,2020-09-18 09:38,9679.3090,2020-09-18 09:38,2600.7216,2020-09-18 09:38,3278.1098,2020-09-18 09:38,4653.9191,2020-09-18 09:38,6855.4279,2020-09-18 09:38,4691.2308,2020-09-18 09:38,6398.1522,2020-09-18 09:38,4940.9128,2020-09-18 09:38,13086.5737,2020-09-18 09:38,7684.7975,2020-09-18 09:38,8727.1624,2020-09-18 09:38,2574.3450,2020-09-18 09:38,1637.1348,2020-09-18 09:38,3626.2489,2020-09-18 09:38,12292.5192,2020-09-18 09:38,3021.4841,2020-09-18 09:38,2195.8483,2020-09-18 09:38,2298.1045,2020-09-18 09:38,952.5750,2020-09-18 09:38,5914.3512,2020-09-18 09:38,6835.7473
2020-09-18 09:39,3282.1474,2020-09-18 09:39,3439.8656,2020-09-18 09:39,249.5808,2020-09-18 09:39,5773.0287,2020-09-18 09:39,9681.5350,2020-09-18 09:39,2599.9496,2020-09-18 09:39,3279.0416,2020-09-18 09:39,4655.8088,2020-09-18 09:39,6856.9262,2020-09-18 09:39,4693.2695,2020-09-18 09:39,6397.3036,2020-09-18 09:39,4942.2675,2020-09-18 09:39,13091.2984,2020-09-18 09:39,7689.1912,2020-09-18 09:39,8733.3463,2020-09-18 09:39,2572.9497,2020-09-18 09:39,1638.3587,2020-09-18 09:39,3624.6769,2020-09-18 09:39,12300.2562,2020-09-18 09:39,3020.7025,2020-09-18 09:39,2196.4602,2020-09-18 09:39,2298.7503,2020-09-18 09:39,951.4479,2020-09-18 09:39,5917.7327,2020-09-18 09:39,6837.7955
