UID,2020/9/15,2020/9/16,Equal
000540.SZ,3.41,3.41,TRUE
000541.SZ,5.76,5.76,TRUE
000543.SZ,4.26,4.26,TRUE
000544.SZ,6.96,6.96,TRUE
000545.SZ,2.71,2.71,TRUE
000546.SZ,9.01,9.01,TRUE
000547.SZ,19.37,19.37,TRUE
000548.SZ,4.3,4.3,TRUE
000550.SZ,16.19,16.19,TRUE
000551.SZ,9.12,9.12,TRUE
000552.SZ,2.78,2.78,TRUE
000553.SZ,9.02,9.02,TRUE
000554.SZ,4.78,4.78,TRUE
000555.SZ,17.6,17.6,TRUE
000557.SZ,3.49,3.49,TRUE
000558.SZ,2.96,2.96,TRUE
000559.SZ,5.48,5.48,TRUE
000560.SZ,3.92,3.92,TRUE
000561.SZ,8.05,8.05,TRUE
000563.SZ,3.84,3.84,TRUE
000564.SZ,3.28,3.28,TRUE
000565.SZ,5.12,5.12,TRUE
000566.SZ,10.62,10.62,TRUE
000567.SZ,11.08,11.08,TRUE
000568.SZ,146.21,146.21,TRUE
000570.SZ,4.89,4.89,TRUE
000571.SZ,3.63,3.63,TRUE
000572.SZ,2.7,2.7,TRUE
000573.SZ,2.92,2.92,TRUE
000576.SZ,10.54,10.54,TRUE
000581.SZ,23.77,23.77,TRUE
000582.SZ,11.25,11.25,TRUE
000584.SZ,6.14,6.14,TRUE
000585.SZ,1.54,1.54,TRUE
000586.SZ,8.9,8.9,TRUE
000587.SZ,1.4,1.4,TRUE
000589.SZ,5.88,5.88,TRUE
000590.SZ,9.96,9.96,TRUE
000591.SZ,4.54,4.54,TRUE
000592.SZ,3.25,3.25,TRUE
000593.SZ,5.24,5.24,TRUE
000595.SZ,2.32,2.32,TRUE
000596.SZ,233.94,233.94,TRUE
000597.SZ,6.3,6.3,TRUE
000598.SZ,5.11,5.11,TRUE
000599.SZ,4.6,4.6,TRUE
000600.SZ,5.19,5.19,TRUE
000601.SZ,6.68,6.68,TRUE
000603.SZ,15.72,15.72,TRUE
000605.SZ,6.45,6.45,TRUE
000606.SZ,4.14,4.14,TRUE
000607.SZ,4.25,4.25,TRUE
000608.SZ,4.39,4.39,TRUE
000609.SZ,5.6,5.6,TRUE
000610.SZ,11.6,11.6,TRUE
000611.SZ,3.54,3.54,TRUE
000612.SZ,6.46,6.46,TRUE
000613.SZ,6.98,6.98,TRUE
000615.SZ,4.3,4.3,TRUE
000616.SZ,3.23,3.23,TRUE
000617.SZ,6.88,6.88,TRUE
000619.SZ,6.45,6.45,TRUE
000620.SZ,3.71,3.71,TRUE
000622.SZ,4.01,4.01,TRUE
000623.SZ,17.32,17.32,TRUE
000625.SZ,13.71,13.71,TRUE
000626.SZ,7.07,7.07,TRUE
000627.SZ,5.35,5.35,TRUE
000628.SZ,8.62,8.62,TRUE
000629.SZ,2.15,2.15,TRUE
000630.SZ,2.32,2.32,TRUE
000631.SZ,2.85,2.85,TRUE
000632.SZ,4.41,4.41,TRUE
000633.SZ,4.71,4.71,TRUE
000635.SZ,7.66,7.66,TRUE
000636.SZ,29.1,29.1,TRUE
000637.SZ,4.42,4.42,TRUE
000638.SZ,6.96,6.96,TRUE
000639.SZ,6.25,6.25,TRUE
000650.SZ,6.39,6.39,TRUE
000651.SZ,55.77,55.77,TRUE
000652.SZ,5.39,5.39,TRUE
000655.SZ,6.47,6.47,TRUE
000656.SZ,9.81,9.81,TRUE
000657.SZ,7.05,7.05,TRUE
000659.SZ,2.48,2.48,TRUE
000661.SZ,383.36,383.36,TRUE
000662.SZ,1.54,1.54,TRUE
000663.SZ,4.03,4.03,TRUE
000665.SZ,5.24,5.24,TRUE
000666.SZ,9.25,9.25,TRUE
000667.SZ,3.82,3.82,TRUE
000668.SZ,19.74,19.74,TRUE
000669.SZ,1.86,1.86,TRUE
000670.SZ,2.25,2.25,TRUE
000671.SZ,7.56,7.56,TRUE
000672.SZ,26.16,26.16,TRUE
000673.SZ,1.62,1.62,TRUE
000676.SZ,7.47,7.47,TRUE
000677.SZ,3.08,3.08,TRUE
000678.SZ,5.47,5.47,TRUE
000679.SZ,3.75,3.75,TRUE
000680.SZ,3.8,3.8,TRUE
000681.SZ,16.39,16.39,TRUE
000682.SZ,5.13,5.13,TRUE
000683.SZ,2.67,2.67,TRUE
000685.SZ,8.5,8.5,TRUE
000686.SZ,9.79,9.79,TRUE
000687.SZ,1.94,1.94,TRUE
000688.SZ,23.3,23.3,TRUE
000690.SZ,6.62,6.62,TRUE
000691.SZ,5.29,5.29,TRUE
000692.SZ,3.14,3.14,TRUE
000695.SZ,8.76,8.76,TRUE
000697.SZ,11.51,11.51,TRUE
000698.SZ,5.79,5.79,TRUE
000700.SZ,6.97,6.97,TRUE
000701.SZ,6.03,6.03,TRUE
000702.SZ,5.75,5.75,TRUE
000703.SZ,12,12,TRUE
000705.SZ,8.51,8.51,TRUE
000707.SZ,2.67,2.67,TRUE
000708.SZ,17.57,17.57,TRUE
000709.SZ,2.21,2.21,TRUE
000710.SZ,54.48,54.48,TRUE
000711.SZ,3.38,3.38,TRUE
000712.SZ,13.69,13.69,TRUE
000713.SZ,10.98,10.98,TRUE
000715.SZ,6.37,6.37,TRUE
000716.SZ,3.87,3.87,TRUE
000717.SZ,4.23,4.23,TRUE
000718.SZ,3.32,3.32,TRUE
000719.SZ,7.94,7.94,TRUE
000720.SZ,4.06,4.06,TRUE
000721.SZ,5.25,5.25,TRUE
000722.SZ,7.11,7.11,TRUE
000723.SZ,6.66,6.66,TRUE
000725.SZ,5.22,5.22,TRUE
000726.SZ,7.59,7.59,TRUE
000727.SZ,2.61,2.61,TRUE
000728.SZ,9.78,9.78,TRUE
000729.SZ,7.7,7.7,TRUE
000731.SZ,5.3,5.3,TRUE
000732.SZ,5.03,5.03,TRUE
000733.SZ,40.31,40.31,TRUE
000735.SZ,10.58,10.58,TRUE
000736.SZ,6.97,6.97,TRUE
000737.SZ,3.73,3.73,TRUE
000738.SZ,19.75,19.75,TRUE
000739.SZ,24.5,24.5,TRUE
000750.SZ,5.14,5.14,TRUE
000751.SZ,2.94,2.94,TRUE
000752.SZ,3.64,3.64,TRUE
000753.SZ,3.2,3.2,TRUE
000755.SZ,3.79,3.79,TRUE
000756.SZ,9.5,9.5,TRUE
000757.SZ,4.72,4.72,TRUE
000758.SZ,4.84,4.84,TRUE
000759.SZ,6.69,6.69,TRUE
000760.SZ,1.47,1.47,TRUE
000761.SZ,3.41,3.41,TRUE
000762.SZ,8.5,8.5,TRUE
000766.SZ,4.9,4.9,TRUE
000767.SZ,2.51,2.51,TRUE
000768.SZ,22.15,22.15,TRUE
000776.SZ,15.94,15.94,TRUE
000777.SZ,13.08,13.08,TRUE
000778.SZ,3.68,3.68,TRUE
000779.SZ,10.68,10.68,TRUE
000780.SZ,2.65,2.65,TRUE
000782.SZ,3.48,3.48,TRUE
000783.SZ,8,8,TRUE
000785.SZ,9.22,9.22,TRUE
000786.SZ,33.98,33.98,TRUE
000788.SZ,6.83,6.83,TRUE
000789.SZ,16.17,16.17,TRUE
000790.SZ,5.39,5.39,TRUE
000791.SZ,3.63,3.63,TRUE
000792.SZ,8.84,8.84,TRUE
000793.SZ,3.17,3.17,TRUE
000795.SZ,5.96,5.96,TRUE
000796.SZ,16.76,16.76,TRUE
000797.SZ,3.8,3.8,TRUE
000798.SZ,6.75,6.75,TRUE
000799.SZ,91.29,91.29,TRUE
000800.SZ,14.27,14.27,TRUE
000801.SZ,6.12,6.12,TRUE
000802.SZ,9.53,9.53,TRUE
000803.SZ,15.65,15.65,TRUE
000806.SZ,1.58,1.58,TRUE
000807.SZ,5.63,5.63,TRUE
000809.SZ,2.36,2.36,TRUE
000810.SZ,10.14,10.14,TRUE
000811.SZ,7.03,7.03,TRUE
000812.SZ,3.26,3.26,TRUE
000813.SZ,6.32,6.32,TRUE
