上证指数,000001.SH,上证A指,000002.SH,上证B指,000003.SH,上证380,000009.SH,上证180,000010.SH,上证红利,000015.SH,上证50,000016.SH,沪深300,000300.SH,中证1000,000852.SH,中证100,000903.SH,中证500,000905.SH,中证800,000906.SH,深证成指,399001.SZ,深证100R,399004.SZ,中小板指,399005.SZ,创业板指,399006.SZ,中小300,399008.SZ,创业300,399012.SZ,中小板综,399101.SZ,创业板综,399102.SZ,深证综指,399106.SZ,深证A指,399107.SZ,深证B指,399108.SZ,深证100,399330.SZ,深证300R,399344.SZ
2020-09-16 09:30,3291.4052,2020-09-16 09:30,3449.6224,2020-09-16 09:30,248.2110,2020-09-16 09:30,5755.6111,2020-09-16 09:30,9755.9578,2020-09-16 09:30,2585.3379,2020-09-16 09:30,3317.2672,2020-09-16 09:30,4680.4243,2020-09-16 09:30,6848.6259,2020-09-16 09:30,4733.5426,2020-09-16 09:30,6372.9666,2020-09-16 09:30,4957.4019,2020-09-16 09:30,13099.6206,2020-09-16 09:30,7724.7136,2020-09-16 09:30,8721.1777,2020-09-16 09:30,2591.3502,2020-09-16 09:30,1635.4211,2020-09-16 09:30,3639.9414,2020-09-16 09:30,12296.6574,2020-09-16 09:30,3023.6944,2020-09-16 09:30,2197.0044,2020-09-16 09:30,2299.3269,2020-09-16 09:30,949.8000,2020-09-16 09:30,5945.0713,2020-09-16 09:30,6847.9443
2020-09-16 09:31,3293.3045,2020-09-16 09:31,3451.6159,2020-09-16 09:31,248.2441,2020-09-16 09:31,5761.9202,2020-09-16 09:31,9763.8561,2020-09-16 09:31,2586.8742,2020-09-16 09:31,3318.4960,2020-09-16 09:31,4684.8468,2020-09-16 09:31,6861.2198,2020-09-16 09:31,4736.8237,2020-09-16 09:31,6381.9486,2020-09-16 09:31,4962.6458,2020-09-16 09:31,13120.9874,2020-09-16 09:31,7735.4096,2020-09-16 09:31,8737.5769,2020-09-16 09:31,2596.4232,2020-09-16 09:31,1638.7161,2020-09-16 09:31,3647.0794,2020-09-16 09:31,12319.1574,2020-09-16 09:31,3031.3241,2020-09-16 09:31,2201.0509,2020-09-16 09:31,2303.5689,2020-09-16 09:31,949.7244,2020-09-16 09:31,5953.3031,2020-09-16 09:31,6858.3408
2020-09-16 09:32,3289.8448,2020-09-16 09:32,3447.9865,2020-09-16 09:32,248.1150,2020-09-16 09:32,5762.4108,2020-09-16 09:32,9747.7702,2020-09-16 09:32,2584.6712,2020-09-16 09:32,3311.5632,2020-09-16 09:32,4679.1683,2020-09-16 09:32,6859.4525,2020-09-16 09:32,4729.7515,2020-09-16 09:32,6381.3918,2020-09-16 09:32,4957.9876,2020-09-16 09:32,13115.3762,2020-09-16 09:32,7732.9177,2020-09-16 09:32,8737.6998,2020-09-16 09:32,2594.8153,2020-09-16 09:32,1638.7509,2020-09-16 09:32,3643.4761,2020-09-16 09:32,12317.8503,2020-09-16 09:32,3028.2087,2020-09-16 09:32,2200.0133,2020-09-16 09:32,2302.4850,2020-09-16 09:32,948.7306,2020-09-16 09:32,5951.3853,2020-09-16 09:32,6855.0702
2020-09-16 09:33,3290.5221,2020-09-16 09:33,3448.6960,2020-09-16 09:33,248.1754,2020-09-16 09:33,5763.6356,2020-09-16 09:33,9749.0498,2020-09-16 09:33,2584.4843,2020-09-16 09:33,3311.8808,2020-09-16 09:33,4680.9114,2020-09-16 09:33,6859.5612,2020-09-16 09:33,4731.4948,2020-09-16 09:33,6380.9035,2020-09-16 09:33,4959.2929,2020-09-16 09:33,13120.6938,2020-09-16 09:33,7737.5015,2020-09-16 09:33,8745.2036,2020-09-16 09:33,2594.1045,2020-09-16 09:33,1639.7821,2020-09-16 09:33,3643.1512,2020-09-16 09:33,12322.6090,2020-09-16 09:33,3028.0693,2020-09-16 09:33,2200.3958,2020-09-16 09:33,2302.8902,2020-09-16 09:33,947.6330,2020-09-16 09:33,5954.9131,2020-09-16 09:33,6858.0202
2020-09-16 09:34,3288.7422,2020-09-16 09:34,3446.8286,2020-09-16 09:34,248.1156,2020-09-16 09:34,5759.4180,2020-09-16 09:34,9745.2078,2020-09-16 09:34,2582.9685,2020-09-16 09:34,3310.7005,2020-09-16 09:34,4679.7430,2020-09-16 09:34,6856.9179,2020-09-16 09:34,4730.4389,2020-09-16 09:34,6377.5927,2020-09-16 09:34,4957.7302,2020-09-16 09:34,13117.4750,2020-09-16 09:34,7735.9367,2020-09-16 09:34,8744.5105,2020-09-16 09:34,2591.6983,2020-09-16 09:34,1639.2675,2020-09-16 09:34,3640.4462,2020-09-16 09:34,12318.4650,2020-09-16 09:34,3026.9261,2020-09-16 09:34,2199.8161,2020-09-16 09:34,2302.2814,2020-09-16 09:34,947.9356,2020-09-16 09:34,5953.7088,2020-09-16 09:34,6855.8203
2020-09-16 09:35,3289.4124,2020-09-16 09:35,3447.5327,2020-09-16 09:35,248.1036,2020-09-16 09:35,5760.2795,2020-09-16 09:35,9746.7546,2020-09-16 09:35,2582.8305,2020-09-16 09:35,3311.7985,2020-09-16 09:35,4679.9254,2020-09-16 09:35,6861.2095,2020-09-16 09:35,4729.1983,2020-09-16 09:35,6379.4276,2020-09-16 09:35,4958.2233,2020-09-16 09:35,13120.7950,2020-09-16 09:35,7735.0918,2020-09-16 09:35,8751.6251,2020-09-16 09:35,2593.8806,2020-09-16 09:35,1640.3162,2020-09-16 09:35,3645.1170,2020-09-16 09:35,12322.2085,2020-09-16 09:35,3031.3183,2020-09-16 09:35,2200.4761,2020-09-16 09:35,2302.9721,2020-09-16 09:35,948.2267,2020-09-16 09:35,5953.0585,2020-09-16 09:35,6857.3980
2020-09-16 09:36,3287.5983,2020-09-16 09:36,3445.6267,2020-09-16 09:36,248.1445,2020-09-16 09:36,5757.7962,2020-09-16 09:36,9739.9234,2020-09-16 09:36,2580.9174,2020-09-16 09:36,3309.9181,2020-09-16 09:36,4677.2849,2020-09-16 09:36,6862.6028,2020-09-16 09:36,4726.8113,2020-09-16 09:36,6378.5589,2020-09-16 09:36,4955.9420,2020-09-16 09:36,13117.4401,2020-09-16 09:36,7731.6753,2020-09-16 09:36,8750.5048,2020-09-16 09:36,2590.4961,2020-09-16 09:36,1640.4464,2020-09-16 09:36,3642.7305,2020-09-16 09:36,12322.9942,2020-09-16 09:36,3030.4270,2020-09-16 09:36,2200.2302,2020-09-16 09:36,2302.7154,2020-09-16 09:36,947.9356,2020-09-16 09:36,5950.4292,2020-09-16 09:36,6855.1931
2020-09-16 09:37,3289.0165,2020-09-16 09:37,3447.1193,2020-09-16 09:37,248.0108,2020-09-16 09:37,5759.0021,2020-09-16 09:37,9743.5737,2020-09-16 09:37,2581.6336,2020-09-16 09:37,3311.3350,2020-09-16 09:37,4680.9281,2020-09-16 09:37,6866.0840,2020-09-16 09:37,4730.8023,2020-09-16 09:37,6380.4155,2020-09-16 09:37,4959.2140,2020-09-16 09:37,13130.8854,2020-09-16 09:37,7743.0414,2020-09-16 09:37,8757.1836,2020-09-16 09:37,2592.2071,2020-09-16 09:37,1641.4906,2020-09-16 09:37,3645.7017,2020-09-16 09:37,12329.7206,2020-09-16 09:37,3032.4332,2020-09-16 09:37,2201.8020,2020-09-16 09:37,2304.3619,2020-09-16 09:37,948.2345,2020-09-16 09:37,5959.1768,2020-09-16 09:37,6863.4211
2020-09-16 09:38,3289.0688,2020-09-16 09:38,3447.1785,2020-09-16 09:38,247.8527,2020-09-16 09:38,5760.0111,2020-09-16 09:38,9742.1633,2020-09-16 09:38,2583.0379,2020-09-16 09:38,3309.6108,2020-09-16 09:38,4681.2466,2020-09-16 09:38,6869.5676,2020-09-16 09:38,4730.8786,2020-09-16 09:38,6382.9852,2020-09-16 09:38,4959.9552,2020-09-16 09:38,13136.3154,2020-09-16 09:38,7745.8729,2020-09-16 09:38,8759.0437,2020-09-16 09:38,2592.9824,2020-09-16 09:38,1642.0566,2020-09-16 09:38,3647.3394,2020-09-16 09:38,12334.2173,2020-09-16 09:38,3034.6199,2020-09-16 09:38,2202.7724,2020-09-16 09:38,2305.3781,2020-09-16 09:38,948.4875,2020-09-16 09:38,5961.3559,2020-09-16 09:38,6865.8930
2020-09-16 09:39,3286.6802,2020-09-16 09:39,3444.6665,2020-09-16 09:39,247.9973,2020-09-16 09:39,5757.8038,2020-09-16 09:39,9733.4699,2020-09-16 09:39,2583.3315,2020-09-16 09:39,3306.1135,2020-09-16 09:39,4676.8833,2020-09-16 09:39,6862.4462,2020-09-16 09:39,4726.4094,2020-09-16 09:39,6380.3347,2020-09-16 09:39,4955.9558,2020-09-16 09:39,13123.0156,2020-09-16 09:39,7737.8125,2020-09-16 09:39,8747.3551,2020-09-16 09:39,2589.5194,2020-09-16 09:39,1640.2302,2020-09-16 09:39,3641.9553,2020-09-16 09:39,12321.1635,2020-09-16 09:39,3030.3627,2020-09-16 09:39,2200.6787,2020-09-16 09:39,2303.1857,2020-09-16 09:39,947.8920,2020-09-16 09:39,5955.1525,2020-09-16 09:39,6859.0062
