上证指数,000001.SH,上证A指,000002.SH,上证B指,000003.SH,上证380,000009.SH,上证180,000010.SH,上证红利,000015.SH,上证50,000016.SH,沪深300,000300.SH,中证1000,000852.SH,中证100,000903.SH,中证500,000905.SH,中证800,000906.SH,深证成指,399001.SZ,深证100R,399004.SZ,中小板指,399005.SZ,创业板指,399006.SZ,中小300,399008.SZ,创业300,399012.SZ,中小板综,399101.SZ,创业板综,399102.SZ,深证综指,399106.SZ,深证A指,399107.SZ,深证B指,399108.SZ,深证100,399330.SZ,深证300R,399344.SZ
2020-09-11 09:30,3230.9370,2020-09-11 09:30,3386.2308,2020-09-11 09:30,244.2890,2020-09-11 09:30,5614.8964,2020-09-11 09:30,9565.2011,2020-09-11 09:30,2568.1591,2020-09-11 09:30,3246.6239,2020-09-11 09:30,4584.4775,2020-09-11 09:30,6598.9374,2020-09-11 09:30,4647.4026,2020-09-11 09:30,6236.7492,2020-09-11 09:30,4854.7238,2020-09-11 09:30,12754.8503,2020-09-11 09:30,7540.9937,2020-09-11 09:30,8475.9489,2020-09-11 09:30,2491.4243,2020-09-11 09:30,1589.5794,2020-09-11 09:30,3475.4879,2020-09-11 09:30,11961.0201,2020-09-11 09:30,2857.3456,2020-09-11 09:30,2124.4810,2020-09-11 09:30,2223.3513,2020-09-11 09:30,938.0361,2020-09-11 09:30,5803.8456,2020-09-11 09:30,6683.2730
2020-09-11 09:31,3232.0520,2020-09-11 09:31,3387.3991,2020-09-11 09:31,244.3827,2020-09-11 09:31,5620.5998,2020-09-11 09:31,9564.2804,2020-09-11 09:31,2566.6903,2020-09-11 09:31,3245.9972,2020-09-11 09:31,4586.6780,2020-09-11 09:31,6609.6393,2020-09-11 09:31,4647.3103,2020-09-11 09:31,6247.8855,2020-09-11 09:31,4858.5933,2020-09-11 09:31,12780.7910,2020-09-11 09:31,7553.9626,2020-09-11 09:31,8496.4024,2020-09-11 09:31,2499.3567,2020-09-11 09:31,1593.2883,2020-09-11 09:31,3485.5057,2020-09-11 09:31,11983.3766,2020-09-11 09:31,2865.6886,2020-09-11 09:31,2129.1185,2020-09-11 09:31,2228.2119,2020-09-11 09:31,938.1718,2020-09-11 09:31,5813.8270,2020-09-11 09:31,6695.8352
2020-09-11 09:32,3233.8119,2020-09-11 09:32,3389.2428,2020-09-11 09:32,244.5486,2020-09-11 09:32,5625.0548,2020-09-11 09:32,9567.2896,2020-09-11 09:32,2567.6147,2020-09-11 09:32,3245.5189,2020-09-11 09:32,4588.4524,2020-09-11 09:32,6618.8734,2020-09-11 09:32,4649.2570,2020-09-11 09:32,6250.5272,2020-09-11 09:32,4860.5154,2020-09-11 09:32,12788.2702,2020-09-11 09:32,7558.5358,2020-09-11 09:32,8504.3471,2020-09-11 09:32,2502.8117,2020-09-11 09:32,1594.2284,2020-09-11 09:32,3491.7711,2020-09-11 09:32,11994.1782,2020-09-11 09:32,2871.3087,2020-09-11 09:32,2131.1940,2020-09-11 09:32,2230.3875,2020-09-11 09:32,938.1513,2020-09-11 09:32,5817.3467,2020-09-11 09:32,6699.0280
2020-09-11 09:33,3238.1361,2020-09-11 09:33,3393.7797,2020-09-11 09:33,244.6894,2020-09-11 09:33,5632.6173,2020-09-11 09:33,9582.1167,2020-09-11 09:33,2569.8314,2020-09-11 09:33,3251.4300,2020-09-11 09:33,4594.5004,2020-09-11 09:33,6622.1273,2020-09-11 09:33,4656.7237,2020-09-11 09:33,6256.9332,2020-09-11 09:33,4866.5755,2020-09-11 09:33,12795.5034,2020-09-11 09:33,7565.5584,2020-09-11 09:33,8517.9498,2020-09-11 09:33,2499.6727,2020-09-11 09:33,1596.5571,2020-09-11 09:33,3488.0839,2020-09-11 09:33,12013.5282,2020-09-11 09:33,2870.5851,2020-09-11 09:33,2132.8668,2020-09-11 09:33,2232.1406,2020-09-11 09:33,938.2772,2020-09-11 09:33,5822.7516,2020-09-11 09:33,6703.4541
2020-09-11 09:34,3237.8666,2020-09-11 09:34,3393.4921,2020-09-11 09:34,244.8668,2020-09-11 09:34,5631.7643,2020-09-11 09:34,9582.8801,2020-09-11 09:34,2569.6648,2020-09-11 09:34,3251.7943,2020-09-11 09:34,4592.7198,2020-09-11 09:34,6622.7399,2020-09-11 09:34,4655.3477,2020-09-11 09:34,6253.6083,2020-09-11 09:34,4864.5193,2020-09-11 09:34,12783.2171,2020-09-11 09:34,7556.5867,2020-09-11 09:34,8506.1806,2020-09-11 09:34,2497.3723,2020-09-11 09:34,1594.9281,2020-09-11 09:34,3486.2947,2020-09-11 09:34,12005.6726,2020-09-11 09:34,2869.3130,2020-09-11 09:34,2131.9527,2020-09-11 09:34,2231.1817,2020-09-11 09:34,938.4614,2020-09-11 09:34,5815.8466,2020-09-11 09:34,6695.6006
2020-09-11 09:35,3238.6935,2020-09-11 09:35,3394.3578,2020-09-11 09:35,244.9647,2020-09-11 09:35,5635.7279,2020-09-11 09:35,9582.7228,2020-09-11 09:35,2567.9564,2020-09-11 09:35,3251.7500,2020-09-11 09:35,4593.8867,2020-09-11 09:35,6631.4166,2020-09-11 09:35,4654.9609,2020-09-11 09:35,6259.2604,2020-09-11 09:35,4866.5234,2020-09-11 09:35,12798.2479,2020-09-11 09:35,7564.1486,2020-09-11 09:35,8515.0595,2020-09-11 09:35,2502.2693,2020-09-11 09:35,1596.6466,2020-09-11 09:35,3493.8341,2020-09-11 09:35,12016.6214,2020-09-11 09:35,2876.8482,2020-09-11 09:35,2134.8819,2020-09-11 09:35,2234.2516,2020-09-11 09:35,938.5845,2020-09-11 09:35,5821.6666,2020-09-11 09:35,6702.4640
2020-09-11 09:36,3238.3673,2020-09-11 09:36,3394.0194,2020-09-11 09:36,244.8087,2020-09-11 09:36,5635.8412,2020-09-11 09:36,9579.5666,2020-09-11 09:36,2567.9845,2020-09-11 09:36,3250.2352,2020-09-11 09:36,4592.4962,2020-09-11 09:36,6639.3937,2020-09-11 09:36,4651.8259,2020-09-11 09:36,6259.9464,2020-09-11 09:36,4865.5382,2020-09-11 09:36,12795.8800,2020-09-11 09:36,7559.3957,2020-09-11 09:36,8512.5786,2020-09-11 09:36,2504.3640,2020-09-11 09:36,1596.7845,2020-09-11 09:36,3496.8837,2020-09-11 09:36,12016.8838,2020-09-11 09:36,2879.4664,2020-09-11 09:36,2134.9993,2020-09-11 09:36,2234.3749,2020-09-11 09:36,938.5271,2020-09-11 09:36,5818.0085,2020-09-11 09:36,6700.1392
2020-09-11 09:37,3235.9470,2020-09-11 09:37,3391.4747,2020-09-11 09:37,244.9311,2020-09-11 09:37,5631.7531,2020-09-11 09:37,9569.0220,2020-09-11 09:37,2565.0053,2020-09-11 09:37,3246.2391,2020-09-11 09:37,4586.4623,2020-09-11 09:37,6636.6678,2020-09-11 09:37,4645.3826,2020-09-11 09:37,6255.3693,2020-09-11 09:37,4859.8351,2020-09-11 09:37,12781.7690,2020-09-11 09:37,7549.4056,2020-09-11 09:37,8504.2024,2020-09-11 09:37,2503.0663,2020-09-11 09:37,1595.4691,2020-09-11 09:37,3495.1452,2020-09-11 09:37,12006.7252,2020-09-11 09:37,2878.5219,2020-09-11 09:37,2133.4046,2020-09-11 09:37,2232.7053,2020-09-11 09:37,938.0011,2020-09-11 09:37,5810.3197,2020-09-11 09:37,6691.5197
2020-09-11 09:38,3233.2432,2020-09-11 09:38,3388.6322,2020-09-11 09:38,245.0614,2020-09-11 09:38,5630.4337,2020-09-11 09:38,9561.2924,2020-09-11 09:38,2563.1779,2020-09-11 09:38,3244.7507,2020-09-11 09:38,4582.1334,2020-09-11 09:38,6626.6424,2020-09-11 09:38,4641.3325,2020-09-11 09:38,6251.8431,2020-09-11 09:38,4855.6977,2020-09-11 09:38,12766.5659,2020-09-11 09:38,7539.1746,2020-09-11 09:38,8490.0729,2020-09-11 09:38,2503.0908,2020-09-11 09:38,1593.3162,2020-09-11 09:38,3492.9927,2020-09-11 09:38,11991.0453,2020-09-11 09:38,2876.4177,2020-09-11 09:38,2130.7545,2020-09-11 09:38,2229.9286,2020-09-11 09:38,937.7117,2020-09-11 09:38,5802.4456,2020-09-11 09:38,6683.3260
2020-09-11 09:39,3231.4508,2020-09-11 09:39,3386.7536,2020-09-11 09:39,244.9281,2020-09-11 09:39,5623.4276,2020-09-11 09:39,9561.9394,2020-09-11 09:39,2561.6579,2020-09-11 09:39,3244.7313,2020-09-11 09:39,4580.7928,2020-09-11 09:39,6613.2419,2020-09-11 09:39,4641.1315,2020-09-11 09:39,6242.7641,2020-09-11 09:39,4852.9065,2020-09-11 09:39,12750.8378,2020-09-11 09:39,7533.6234,2020-09-11 09:39,8481.8307,2020-09-11 09:39,2498.6147,2020-09-11 09:39,1591.2560,2020-09-11 09:39,3486.8355,2020-09-11 09:39,11974.5867,2020-09-11 09:39,2871.1360,2020-09-11 09:39,2127.7202,2020-09-11 09:39,2226.7490,2020-09-11 09:39,937.4376,2020-09-11 09:39,5798.1732,2020-09-11 09:39,6675.8678
