Date,UID,2020/9/21,2020/9/22,Equal
Date,UID,Close,PreClose,FALSE
2020/9/22,000001.SH,3316.9351,3316.9351,TRUE
2020/9/22,000002.SH,3476.3486,3476.3486,TRUE
2020/9/22,000003.SH,251.3333,251.3333,TRUE
2020/9/22,000009.SH,5815.9433,5815.9433,TRUE
2020/9/22,000010.SH,9780.2784,9780.2784,TRUE
2020/9/22,000015.SH,2622.3331,2622.3331,TRUE
2020/9/22,000016.SH,3311.5936,3311.5936,TRUE
2020/9/22,000300.SH,4691.4281,4691.4281,TRUE
2020/9/22,000852.SH,6927.1898,6927.1898,TRUE
2020/9/22,000903.SH,4732.7682,4732.7682,TRUE
2020/9/22,000905.SH,6445.9649,6445.9649,TRUE
2020/9/22,000906.SH,4980.0251,4980.0251,TRUE
2020/9/22,399001.SZ,13149.5014,13149.5014,TRUE
2020/9/22,399004.SZ,7705.0441,7705.0441,TRUE
2020/9/22,399005.SZ,8742.8097,8742.8097,TRUE
2020/9/22,399006.SZ,2569.2194,2569.2194,TRUE
2020/9/22,399008.SZ,1646.1484,1646.1484,TRUE
2020/9/22,399012.SZ,3625.5887,3625.5887,TRUE
2020/9/22,399101.SZ,12378.7739,12378.7739,TRUE
2020/9/22,399102.SZ,3020.8773,3020.8773,TRUE
2020/9/22,399106.SZ,2208.298,2208.298,TRUE
2020/9/22,399107.SZ,2311.166,2311.166,TRUE
2020/9/22,399108.SZ,949.5443,949.5443,TRUE
2020/9/22,399330.SZ,5929.9333,5929.9333,TRUE
2020/9/22,399344.SZ,6867.3428,6867.3428,TRUE
2020/9/22,000001.SZ,15.86,15.86,TRUE
2020/9/22,000002.SZ,29.14,29.14,TRUE
2020/9/22,000004.SZ,24.21,24.21,TRUE
2020/9/22,000005.SZ,2.78,2.78,TRUE
2020/9/22,000006.SZ,6.3,6.3,TRUE
2020/9/22,000007.SZ,9.29,9.29,TRUE
2020/9/22,000008.SZ,3.01,3.01,TRUE
2020/9/22,000009.SZ,7.62,7.62,TRUE
2020/9/22,000010.SZ,4.16,4.16,TRUE
2020/9/22,000011.SZ,18.55,18.55,TRUE
2020/9/22,000012.SZ,5.59,5.59,TRUE
2020/9/22,000014.SZ,11.05,11.05,TRUE
2020/9/22,000016.SZ,6.79,6.79,TRUE
2020/9/22,000017.SZ,2.49,2.49,TRUE
2020/9/22,000019.SZ,9.08,9.08,TRUE
2020/9/22,000020.SZ,13.11,13.11,TRUE
2020/9/22,000021.SZ,21.59,21.59,TRUE
2020/9/22,000023.SZ,16.85,16.85,TRUE
2020/9/22,000025.SZ,22.37,22.37,TRUE
2020/9/22,000026.SZ,17.47,17.47,TRUE
2020/9/22,000027.SZ,5.55,5.55,TRUE
2020/9/22,000028.SZ,47.27,47.27,TRUE
2020/9/22,000029.SZ,10.81,10.81,TRUE
2020/9/22,000030.SZ,6.95,6.95,TRUE
2020/9/22,000031.SZ,5.13,5.13,TRUE
2020/9/22,000032.SZ,23.26,23.26,TRUE
2020/9/22,000034.SZ,24.51,24.51,TRUE
2020/9/22,000035.SZ,4.96,4.96,TRUE
2020/9/22,000036.SZ,4.28,4.28,TRUE
2020/9/22,000037.SZ,15.4,15.4,TRUE
2020/9/22,000038.SZ,12.6,12.6,TRUE
2020/9/22,000039.SZ,8.98,8.98,TRUE
2020/9/22,000040.SZ,3.52,3.52,TRUE
2020/9/22,000042.SZ,9.7,9.7,TRUE
2020/9/22,000045.SZ,8.51,8.51,TRUE
2020/9/22,000046.SZ,4.62,4.62,TRUE
2020/9/22,000048.SZ,41.59,41.59,TRUE
2020/9/22,000049.SZ,50.91,50.91,TRUE
2020/9/22,000050.SZ,15.32,15.32,TRUE
2020/9/22,000055.SZ,4.7,4.7,TRUE
2020/9/22,000056.SZ,3.49,3.49,TRUE
2020/9/22,000058.SZ,8.11,8.11,TRUE
2020/9/22,000059.SZ,4.89,4.89,TRUE
2020/9/22,000060.SZ,4.5,4.5,TRUE
2020/9/22,000061.SZ,7.77,7.77,TRUE
2020/9/22,000062.SZ,14.58,14.58,TRUE
2020/9/22,000063.SZ,34.7,34.7,TRUE
2020/9/22,000065.SZ,7.78,7.78,TRUE
2020/9/22,000066.SZ,17.27,17.27,TRUE
