Date,UID,2020/9/16,2020/9/17,Equal
Date,UID,Close,PreClose,FALSE
2020/9/17,000001.SH,3283.9244,3283.9244,TRUE
2020/9/17,000002.SH,3441.7666,3441.7666,TRUE
2020/9/17,000003.SH,248.2341,248.2341,TRUE
2020/9/17,000009.SH,5746.369,5746.369,TRUE
2020/9/17,000010.SH,9715.3973,9715.3973,TRUE
2020/9/17,000015.SH,2596.3875,2596.3875,TRUE
2020/9/17,000016.SH,3295.5836,3295.5836,TRUE
2020/9/17,000300.SH,4657.3584,4657.3584,TRUE
2020/9/17,000852.SH,6812.9115,6812.9115,TRUE
2020/9/17,000903.SH,4706.5463,4706.5463,TRUE
2020/9/17,000905.SH,6353.836,6353.836,TRUE
2020/9/17,000906.SH,4935.2918,4935.2918,TRUE
2020/9/17,399001.SZ,13011.2814,13011.2814,TRUE
2020/9/17,399004.SZ,7658.2075,7658.2075,TRUE
2020/9/17,399005.SZ,8672.9662,8672.9662,TRUE
2020/9/17,399006.SZ,2554.7996,2554.7996,TRUE
2020/9/17,399008.SZ,1626.8821,1626.8821,TRUE
2020/9/17,399012.SZ,3593.9701,3593.9701,TRUE
2020/9/17,399101.SZ,12228.966,12228.966,TRUE
2020/9/17,399102.SZ,2995.4952,2995.4952,TRUE
2020/9/17,399106.SZ,2185.2225,2185.2225,TRUE
2020/9/17,399107.SZ,2286.9854,2286.9854,TRUE
2020/9/17,399108.SZ,947.5765,947.5765,TRUE
2020/9/17,399330.SZ,5893.8871,5893.8871,TRUE
2020/9/17,399344.SZ,6798.8941,6798.8941,TRUE
2020/9/17,000001.SZ,15.44,15.44,TRUE
2020/9/17,000002.SZ,28.19,28.19,TRUE
2020/9/17,000004.SZ,22.49,22.49,TRUE
2020/9/17,000005.SZ,2.83,2.83,TRUE
2020/9/17,000006.SZ,5.9,5.9,TRUE
2020/9/17,000007.SZ,9.3,9.3,TRUE
2020/9/17,000008.SZ,3,3,TRUE
2020/9/17,000009.SZ,7.25,7.25,TRUE
2020/9/17,000010.SZ,4.28,4.28,TRUE
2020/9/17,000011.SZ,17.03,17.03,TRUE
2020/9/17,000012.SZ,5.44,5.44,TRUE
2020/9/17,000014.SZ,10.18,10.18,TRUE
2020/9/17,000016.SZ,6.71,6.71,TRUE
2020/9/17,000017.SZ,2.49,2.49,TRUE
2020/9/17,000019.SZ,8.91,8.91,TRUE
2020/9/17,000020.SZ,12.69,12.69,TRUE
2020/9/17,000021.SZ,20.75,20.75,TRUE
2020/9/17,000023.SZ,15.52,15.52,TRUE
2020/9/17,000025.SZ,22.08,22.08,TRUE
2020/9/17,000026.SZ,17.5,17.5,TRUE
2020/9/17,000027.SZ,5.41,5.41,TRUE
2020/9/17,000028.SZ,46.69,46.69,TRUE
2020/9/17,000029.SZ,10.81,10.81,TRUE
2020/9/17,000030.SZ,6.46,6.46,TRUE
2020/9/17,000031.SZ,5.12,5.12,TRUE
2020/9/17,000032.SZ,22.96,22.96,TRUE
2020/9/17,000034.SZ,23.43,23.43,TRUE
2020/9/17,000035.SZ,4.96,4.96,TRUE
2020/9/17,000036.SZ,4.2,4.2,TRUE
2020/9/17,000037.SZ,15.21,15.21,TRUE
2020/9/17,000038.SZ,12.1,12.1,TRUE
2020/9/17,000039.SZ,9.06,9.06,TRUE
2020/9/17,000040.SZ,3.43,3.43,TRUE
2020/9/17,000042.SZ,9.59,9.59,TRUE
2020/9/17,000045.SZ,8.06,8.06,TRUE
2020/9/17,000046.SZ,4.17,4.17,TRUE
2020/9/17,000048.SZ,42.56,42.56,TRUE
2020/9/17,000049.SZ,49.92,49.92,TRUE
2020/9/17,000050.SZ,15.04,15.04,TRUE
2020/9/17,000055.SZ,4.65,4.65,TRUE
2020/9/17,000056.SZ,3.59,3.59,TRUE
2020/9/17,000058.SZ,7.67,7.67,TRUE
2020/9/17,000059.SZ,4.9,4.9,TRUE
2020/9/17,000060.SZ,4.4,4.4,TRUE
2020/9/17,000061.SZ,7.63,7.63,TRUE
2020/9/17,000062.SZ,14.26,14.26,TRUE
2020/9/17,000063.SZ,33.63,33.63,TRUE
2020/9/17,000065.SZ,7.59,7.59,TRUE
2020/9/17,000066.SZ,16.68,16.68,TRUE
2020/9/17,000068.SZ,3.12,3.12,TRUE
2020/9/17,000069.SZ,7.11,7.11,TRUE
2020/9/17,000070.SZ,10.08,10.08,TRUE
2020/9/17,000078.SZ,4.14,4.14,TRUE
2020/9/17,000088.SZ,5.92,5.92,TRUE
2020/9/17,000089.SZ,9.24,9.24,TRUE
2020/9/17,000090.SZ,6.85,6.85,TRUE
2020/9/17,000096.SZ,10.8,10.8,TRUE
2020/9/17,000099.SZ,7.44,7.44,TRUE
2020/9/17,000100.SZ,6.79,6.79,TRUE
2020/9/17,000150.SZ,3.57,3.57,TRUE
2020/9/17,000151.SZ,9.13,9.13,TRUE
2020/9/17,000153.SZ,9.04,9.04,TRUE
2020/9/17,000155.SZ,4.76,4.76,TRUE
2020/9/17,000156.SZ,10.87,10.87,TRUE
2020/9/17,000157.SZ,8.29,8.29,TRUE
2020/9/17,000158.SZ,8.08,8.08,TRUE
2020/9/17,000159.SZ,6.36,6.36,TRUE
2020/9/17,000166.SZ,5.24,5.24,TRUE
2020/9/17,000301.SZ,6.46,6.46,TRUE
2020/9/17,000333.SZ,69.66,69.66,TRUE
2020/9/17,000338.SZ,15.02,15.02,TRUE
2020/9/17,000400.SZ,14.12,14.12,TRUE
2020/9/17,000401.SZ,16.83,16.83,TRUE
2020/9/17,000402.SZ,6.91,6.91,TRUE
2020/9/17,000403.SZ,34.45,34.45,TRUE
2020/9/17,000404.SZ,4.09,4.09,TRUE
2020/9/17,000407.SZ,3.8,3.8,TRUE
2020/9/17,000408.SZ,7.32,7.32,TRUE
2020/9/17,000409.SZ,4.14,4.14,TRUE
2020/9/17,000410.SZ,4.52,4.52,TRUE
2020/9/17,000411.SZ,15.82,15.82,TRUE
2020/9/17,000413.SZ,3.3,3.3,TRUE
2020/9/17,000415.SZ,2.92,2.92,TRUE
2020/9/17,000416.SZ,6.58,6.58,TRUE
2020/9/17,000417.SZ,5.4,5.4,TRUE
2020/9/17,000419.SZ,4.71,4.71,TRUE
2020/9/17,000420.SZ,2.12,2.12,TRUE
2020/9/17,000421.SZ,6.43,6.43,TRUE
2020/9/17,000422.SZ,2.62,2.62,TRUE
2020/9/17,000423.SZ,42.07,42.07,TRUE
2020/9/17,000425.SZ,5.96,5.96,TRUE
2020/9/17,000426.SZ,7.66,7.66,TRUE
2020/9/17,000428.SZ,3.84,3.84,TRUE
2020/9/17,000429.SZ,6.93,6.93,TRUE
2020/9/17,000430.SZ,5.96,5.96,TRUE
2020/9/17,000488.SZ,5.61,5.61,TRUE
2020/9/17,000498.SZ,5.41,5.41,TRUE
2020/9/17,000501.SZ,15.97,15.97,TRUE
2020/9/17,000502.SZ,7.22,7.22,TRUE
2020/9/17,000503.SZ,11.59,11.59,TRUE
2020/9/17,000504.SZ,14.73,14.73,TRUE
2020/9/17,000505.SZ,10.25,10.25,TRUE
2020/9/17,000506.SZ,2.85,2.85,TRUE
2020/9/17,000507.SZ,5.72,5.72,TRUE
2020/9/17,000509.SZ,2.24,2.24,TRUE
2020/9/17,000510.SZ,4.24,4.24,TRUE
2020/9/17,000513.SZ,47.55,47.55,TRUE
2020/9/17,000514.SZ,4.12,4.12,TRUE
2020/9/17,000516.SZ,6.8,6.8,TRUE
2020/9/17,000517.SZ,3,3,TRUE
2020/9/17,000518.SZ,4.72,4.72,TRUE
2020/9/17,000519.SZ,10.19,10.19,TRUE
2020/9/17,000520.SZ,3.59,3.59,TRUE
2020/9/17,000521.SZ,3.18,3.18,TRUE
2020/9/17,000523.SZ,5.85,5.85,TRUE
2020/9/17,000524.SZ,9.54,9.54,TRUE
2020/9/17,000525.SZ,7.54,7.54,TRUE
2020/9/17,000526.SZ,59.09,59.09,TRUE
2020/9/17,000528.SZ,7.68,7.68,TRUE
2020/9/17,000529.SZ,7.76,7.76,TRUE
2020/9/17,000530.SZ,3.79,3.79,TRUE
2020/9/17,000531.SZ,9.01,9.01,TRUE
2020/9/17,000532.SZ,11.67,11.67,TRUE
2020/9/17,000533.SZ,3.21,3.21,TRUE
2020/9/17,000534.SZ,12.3,12.3,TRUE
2020/9/17,000536.SZ,2.04,2.04,TRUE
2020/9/17,000537.SZ,7.38,7.38,TRUE
2020/9/17,000538.SZ,109.22,109.22,TRUE
2020/9/17,000539.SZ,3.88,3.88,TRUE
2020/9/17,000540.SZ,3.42,3.42,TRUE
2020/9/17,000541.SZ,5.7,5.7,TRUE
2020/9/17,000543.SZ,4.26,4.26,TRUE
2020/9/17,000544.SZ,6.91,6.91,TRUE
2020/9/17,000545.SZ,2.69,2.69,TRUE
2020/9/17,000546.SZ,8.98,8.98,TRUE
2020/9/17,000547.SZ,18.96,18.96,TRUE
2020/9/17,000548.SZ,4.26,4.26,TRUE
2020/9/17,000550.SZ,16.23,16.23,TRUE
2020/9/17,000551.SZ,8.92,8.92,TRUE
2020/9/17,000552.SZ,2.74,2.74,TRUE
2020/9/17,000553.SZ,8.97,8.97,TRUE
2020/9/17,000554.SZ,4.8,4.8,TRUE
2020/9/17,000555.SZ,17.09,17.09,TRUE
2020/9/17,000557.SZ,3.56,3.56,TRUE
2020/9/17,000558.SZ,2.87,2.87,TRUE
2020/9/17,000559.SZ,5.5,5.5,TRUE
2020/9/17,000560.SZ,3.9,3.9,TRUE
2020/9/17,000561.SZ,7.89,7.89,TRUE
2020/9/17,000563.SZ,3.84,3.84,TRUE
2020/9/17,000564.SZ,3.19,3.19,TRUE
2020/9/17,000565.SZ,5.12,5.12,TRUE
2020/9/17,000566.SZ,10.61,10.61,TRUE
2020/9/17,000567.SZ,11.34,11.34,TRUE
2020/9/17,000568.SZ,143.48,143.48,TRUE
2020/9/17,000570.SZ,4.8,4.8,TRUE
2020/9/17,000571.SZ,3.74,3.74,TRUE
2020/9/17,000572.SZ,2.84,2.84,TRUE
2020/9/17,000573.SZ,2.9,2.9,TRUE
2020/9/17,000576.SZ,10.42,10.42,TRUE
2020/9/17,000581.SZ,23.87,23.87,TRUE
2020/9/17,000582.SZ,11.14,11.14,TRUE
2020/9/17,000584.SZ,6.09,6.09,TRUE
2020/9/17,000585.SZ,1.62,1.62,TRUE
2020/9/17,000586.SZ,8.72,8.72,TRUE
2020/9/17,000587.SZ,1.38,1.38,TRUE
2020/9/17,000589.SZ,5.8,5.8,TRUE
2020/9/17,000590.SZ,9.84,9.84,TRUE
2020/9/17,000591.SZ,4.65,4.65,TRUE
2020/9/17,000592.SZ,3.32,3.32,TRUE
2020/9/17,000593.SZ,5.19,5.19,TRUE
2020/9/17,000595.SZ,2.3,2.3,TRUE
2020/9/17,000596.SZ,227.9,227.9,TRUE
2020/9/17,000597.SZ,6.27,6.27,TRUE
2020/9/17,000598.SZ,5.11,5.11,TRUE
2020/9/17,000599.SZ,4.52,4.52,TRUE
2020/9/17,000600.SZ,5.18,5.18,TRUE
2020/9/17,000601.SZ,6.63,6.63,TRUE
2020/9/17,000603.SZ,15.32,15.32,TRUE
2020/9/17,000605.SZ,6.37,6.37,TRUE
2020/9/17,000606.SZ,4.04,4.04,TRUE
2020/9/17,000607.SZ,4.19,4.19,TRUE
2020/9/17,000608.SZ,4.3,4.3,TRUE
2020/9/17,000609.SZ,5.7,5.7,TRUE
2020/9/17,000610.SZ,11.14,11.14,TRUE
2020/9/17,000611.SZ,3.43,3.43,TRUE
2020/9/17,000612.SZ,6.31,6.31,TRUE
2020/9/17,000613.SZ,6.79,6.79,TRUE
2020/9/17,000615.SZ,4.28,4.28,TRUE
2020/9/17,000616.SZ,3.3,3.3,TRUE
2020/9/17,000617.SZ,6.82,6.82,TRUE
2020/9/17,000619.SZ,6.34,6.34,TRUE
2020/9/17,000620.SZ,3.71,3.71,TRUE
2020/9/17,000622.SZ,4.04,4.04,TRUE
2020/9/17,000623.SZ,17.29,17.29,TRUE
2020/9/17,000625.SZ,14.28,14.28,TRUE
2020/9/17,000626.SZ,7.12,7.12,TRUE
2020/9/17,000627.SZ,5.34,5.34,TRUE
2020/9/17,000628.SZ,8.67,8.67,TRUE
2020/9/17,000629.SZ,2.15,2.15,TRUE
2020/9/17,000630.SZ,2.29,2.29,TRUE
2020/9/17,000631.SZ,2.85,2.85,TRUE
2020/9/17,000632.SZ,4.39,4.39,TRUE
2020/9/17,000633.SZ,4.61,4.61,TRUE
2020/9/17,000635.SZ,7.64,7.64,TRUE
2020/9/17,000636.SZ,29.51,29.51,TRUE
2020/9/17,000637.SZ,4.39,4.39,TRUE
2020/9/17,000638.SZ,6.77,6.77,TRUE
2020/9/17,000639.SZ,6.31,6.31,TRUE
2020/9/17,000650.SZ,6.32,6.32,TRUE
2020/9/17,000651.SZ,55.05,55.05,TRUE
2020/9/17,000652.SZ,5.28,5.28,TRUE
