上证指数,000001.SH,上证A指,000002.SH,上证B指,000003.SH,上证380,000009.SH,上证180,000010.SH,上证红利,000015.SH,上证50,000016.SH,沪深300,000300.SH,中证1000,000852.SH,中证100,000903.SH,中证500,000905.SH,中证800,000906.SH,深证成指,399001.SZ,深证100R,399004.SZ,中小板指,399005.SZ,创业板指,399006.SZ,中小300,399008.SZ,创业300,399012.SZ,中小板综,399101.SZ,创业板综,399102.SZ,深证综指,399106.SZ,深证A指,399107.SZ,深证B指,399108.SZ,深证100,399330.SZ,深证300R,399344.SZ
2020-09-17 09:30,3269.9444,2020-09-17 09:30,3427.0847,2020-09-17 09:30,248.3247,2020-09-17 09:30,5729.0025,2020-09-17 09:30,9668.4747,2020-09-17 09:30,2589.8701,2020-09-17 09:30,3279.5266,2020-09-17 09:30,4634.6260,2020-09-17 09:30,6775.9891,2020-09-17 09:30,4685.1755,2020-09-17 09:30,6336.8770,2020-09-17 09:30,4913.8599,2020-09-17 09:30,12954.2005,2020-09-17 09:30,7622.2473,2020-09-17 09:30,8619.8711,2020-09-17 09:30,2547.7728,2020-09-17 09:30,1617.5964,2020-09-17 09:30,3580.2026,2020-09-17 09:30,12166.9528,2020-09-17 09:30,2981.1252,2020-09-17 09:30,2174.8413,2020-09-17 09:30,2276.0975,2020-09-17 09:30,949.1969,2020-09-17 09:30,5866.2115,2020-09-17 09:30,6769.1709
2020-09-17 09:31,3269.4610,2020-09-17 09:31,3426.5805,2020-09-17 09:31,248.1991,2020-09-17 09:31,5727.3831,2020-09-17 09:31,9664.8000,2020-09-17 09:31,2588.2284,2020-09-17 09:31,3278.2430,2020-09-17 09:31,4634.9981,2020-09-17 09:31,6780.3174,2020-09-17 09:31,4685.0098,2020-09-17 09:31,6334.9674,2020-09-17 09:31,4913.7971,2020-09-17 09:31,12959.6277,2020-09-17 09:31,7626.7268,2020-09-17 09:31,8626.5157,2020-09-17 09:31,2547.7131,2020-09-17 09:31,1618.4304,2020-09-17 09:31,3581.1608,2020-09-17 09:31,12173.1220,2020-09-17 09:31,2983.5483,2020-09-17 09:31,2175.6999,2020-09-17 09:31,2277.0022,2020-09-17 09:31,947.9634,2020-09-17 09:31,5869.6590,2020-09-17 09:31,6772.6224
2020-09-17 09:32,3268.3394,2020-09-17 09:32,3425.4026,2020-09-17 09:32,248.2043,2020-09-17 09:32,5722.2412,2020-09-17 09:32,9661.0374,2020-09-17 09:32,2589.4324,2020-09-17 09:32,3276.2995,2020-09-17 09:32,4634.2053,2020-09-17 09:32,6777.1750,2020-09-17 09:32,4684.9685,2020-09-17 09:32,6328.9894,2020-09-17 09:32,4912.0313,2020-09-17 09:32,12955.0757,2020-09-17 09:32,7626.5975,2020-09-17 09:32,8627.9625,2020-09-17 09:32,2542.7498,2020-09-17 09:32,1618.4049,2020-09-17 09:32,3575.0695,2020-09-17 09:32,12174.7476,2020-09-17 09:32,2980.0412,2020-09-17 09:32,2175.2027,2020-09-17 09:32,2276.4819,2020-09-17 09:32,947.7189,2020-09-17 09:32,5869.5595,2020-09-17 09:32,6770.3690
2020-09-17 09:33,3269.9013,2020-09-17 09:33,3427.0455,2020-09-17 09:33,248.0926,2020-09-17 09:33,5722.6221,2020-09-17 09:33,9666.8540,2020-09-17 09:33,2587.8545,2020-09-17 09:33,3277.5331,2020-09-17 09:33,4637.3485,2020-09-17 09:33,6779.8764,2020-09-17 09:33,4688.3864,2020-09-17 09:33,6331.3299,2020-09-17 09:33,4914.9939,2020-09-17 09:33,12966.5683,2020-09-17 09:33,7635.3407,2020-09-17 09:33,8634.8058,2020-09-17 09:33,2542.8988,2020-09-17 09:33,1619.5692,2020-09-17 09:33,3576.3262,2020-09-17 09:33,12183.1661,2020-09-17 09:33,2981.7353,2020-09-17 09:33,2177.2226,2020-09-17 09:33,2278.5963,2020-09-17 09:33,948.5072,2020-09-17 09:33,5876.2884,2020-09-17 09:33,6777.0506
2020-09-17 09:34,3270.3898,2020-09-17 09:34,3427.5515,2020-09-17 09:34,248.3565,2020-09-17 09:34,5723.9946,2020-09-17 09:34,9665.8685,2020-09-17 09:34,2587.2299,2020-09-17 09:34,3278.5468,2020-09-17 09:34,4637.1246,2020-09-17 09:34,6784.9940,2020-09-17 09:34,4687.5108,2020-09-17 09:34,6332.5388,2020-09-17 09:34,4915.0429,2020-09-17 09:34,12969.6435,2020-09-17 09:34,7638.1703,2020-09-17 09:34,8633.3145,2020-09-17 09:34,2545.8093,2020-09-17 09:34,1619.2809,2020-09-17 09:34,3580.8250,2020-09-17 09:34,12183.2659,2020-09-17 09:34,2986.8754,2020-09-17 09:34,2178.4174,2020-09-17 09:34,2279.8482,2020-09-17 09:34,948.6265,2020-09-17 09:34,5878.4661,2020-09-17 09:34,6778.4315
2020-09-17 09:35,3270.2255,2020-09-17 09:35,3427.3797,2020-09-17 09:35,248.3297,2020-09-17 09:35,5725.0153,2020-09-17 09:35,9665.2776,2020-09-17 09:35,2587.5553,2020-09-17 09:35,3278.2564,2020-09-17 09:35,4635.1081,2020-09-17 09:35,6784.6198,2020-09-17 09:35,4684.9419,2020-09-17 09:35,6330.9549,2020-09-17 09:35,4913.1267,2020-09-17 09:35,12960.2351,2020-09-17 09:35,7630.3416,2020-09-17 09:35,8624.1518,2020-09-17 09:35,2547.4497,2020-09-17 09:35,1617.8141,2020-09-17 09:35,3582.7015,2020-09-17 09:35,12172.9203,2020-09-17 09:35,2988.3815,2020-09-17 09:35,2177.6835,2020-09-17 09:35,2279.0816,2020-09-17 09:35,947.9255,2020-09-17 09:35,5872.4410,2020-09-17 09:35,6772.9485
2020-09-17 09:36,3269.5844,2020-09-17 09:36,3426.7118,2020-09-17 09:36,248.1292,2020-09-17 09:36,5729.1085,2020-09-17 09:36,9659.4980,2020-09-17 09:36,2588.6080,2020-09-17 09:36,3275.7469,2020-09-17 09:36,4633.8693,2020-09-17 09:36,6788.0183,2020-09-17 09:36,4682.2632,2020-09-17 09:36,6336.9964,2020-09-17 09:36,4913.2758,2020-09-17 09:36,12967.7222,2020-09-17 09:36,7632.4182,2020-09-17 09:36,8635.4380,2020-09-17 09:36,2548.6503,2020-09-17 09:36,1619.7440,2020-09-17 09:36,3585.7980,2020-09-17 09:36,12186.0861,2020-09-17 09:36,2990.9413,2020-09-17 09:36,2179.1654,2020-09-17 09:36,2280.6337,2020-09-17 09:36,948.2525,2020-09-17 09:36,5874.0392,2020-09-17 09:36,6776.5177
2020-09-17 09:37,3270.2132,2020-09-17 09:37,3427.3676,2020-09-17 09:37,248.3015,2020-09-17 09:37,5730.6967,2020-09-17 09:37,9661.7043,2020-09-17 09:37,2588.2979,2020-09-17 09:37,3277.2846,2020-09-17 09:37,4635.6376,2020-09-17 09:37,6792.3397,2020-09-17 09:37,4684.3396,2020-09-17 09:37,6337.3254,2020-09-17 09:37,4914.7557,2020-09-17 09:37,12971.8942,2020-09-17 09:37,7635.4355,2020-09-17 09:37,8637.5081,2020-09-17 09:37,2548.5776,2020-09-17 09:37,1620.0707,2020-09-17 09:37,3586.2115,2020-09-17 09:37,12188.7231,2020-09-17 09:37,2992.0489,2020-09-17 09:37,2180.0207,2020-09-17 09:37,2281.5330,2020-09-17 09:37,947.5031,2020-09-17 09:37,5876.3614,2020-09-17 09:37,6778.6104
2020-09-17 09:38,3269.5837,2020-09-17 09:38,3426.7103,2020-09-17 09:38,248.1599,2020-09-17 09:38,5728.3506,2020-09-17 09:38,9660.3325,2020-09-17 09:38,2587.3157,2020-09-17 09:38,3276.3660,2020-09-17 09:38,4635.0335,2020-09-17 09:38,6791.5509,2020-09-17 09:38,4684.1332,2020-09-17 09:38,6334.2885,2020-09-17 09:38,4913.6972,2020-09-17 09:38,12967.4485,2020-09-17 09:38,7633.1550,2020-09-17 09:38,8635.7135,2020-09-17 09:38,2546.6631,2020-09-17 09:38,1619.5625,2020-09-17 09:38,3584.4769,2020-09-17 09:38,12185.0044,2020-09-17 09:38,2991.1485,2020-09-17 09:38,2179.4273,2020-09-17 09:38,2280.9103,2020-09-17 09:38,947.6830,2020-09-17 09:38,5874.6063,2020-09-17 09:38,6776.1868
2020-09-17 09:39,3269.5685,2020-09-17 09:39,3426.6934,2020-09-17 09:39,248.1954,2020-09-17 09:39,5727.9241,2020-09-17 09:39,9658.5483,2020-09-17 09:39,2589.4537,2020-09-17 09:39,3276.2126,2020-09-17 09:39,4633.9590,2020-09-17 09:39,6787.8666,2020-09-17 09:39,4683.9409,2020-09-17 09:39,6332.6682,2020-09-17 09:39,4912.5294,2020-09-17 09:39,12959.9365,2020-09-17 09:39,7627.9029,2020-09-17 09:39,8627.5165,2020-09-17 09:39,2544.5674,2020-09-17 09:39,1618.2662,2020-09-17 09:39,3582.0604,2020-09-17 09:39,12177.7385,2020-09-17 09:39,2989.7363,2020-09-17 09:39,2178.4467,2020-09-17 09:39,2279.8819,2020-09-17 09:39,947.8297,2020-09-17 09:39,5870.5641,2020-09-17 09:39,6772.3582
