上证指数,000001.SH,上证A指,000002.SH,上证B指,000003.SH,上证380,000009.SH,上证180,000010.SH,上证红利,000015.SH,上证50,000016.SH,沪深300,000300.SH,中证1000,000852.SH,中证100,000903.SH,中证500,000905.SH,中证800,000906.SH,深证成指,399001.SZ,深证100R,399004.SZ,中小板指,399005.SZ,创业板指,399006.SZ,中小300,399008.SZ,创业300,399012.SZ,中小板综,399101.SZ,创业板综,399102.SZ,深证综指,399106.SZ,深证A指,399107.SZ,深证B指,399108.SZ,深证100,399330.SZ,深证300R,399344.SZ
2020-09-21 09:30,3348.5343,2020-09-21 09:30,3509.5052,2020-09-21 09:30,252.2269,2020-09-21 09:30,5849.0505,2020-09-21 09:30,9916.5201,2020-09-21 09:30,2636.4683,2020-09-21 09:30,3360.0241,2020-09-21 09:30,4749.0711,2020-09-21 09:30,6934.7382,2020-09-21 09:30,4798.4263,2020-09-21 09:30,6501.2233,2020-09-21 09:30,5036.6875,2020-09-21 09:30,13264.0292,2020-09-21 09:30,7783.6383,2020-09-21 09:30,8832.0231,2020-09-21 09:30,2603.4494,2020-09-21 09:30,1657.4076,2020-09-21 09:30,3660.2749,2020-09-21 09:30,12446.8873,2020-09-21 09:30,3040.6927,2020-09-21 09:30,2221.7016,2020-09-21 09:30,2325.1840,2020-09-21 09:30,957.9521,2020-09-21 09:30,5990.4207,2020-09-21 09:30,6931.3583
2020-09-21 09:31,3346.3945,2020-09-21 09:31,3507.2632,2020-09-21 09:31,252.0410,2020-09-21 09:31,5852.3125,2020-09-21 09:31,9910.1527,2020-09-21 09:31,2634.7665,2020-09-21 09:31,3357.1512,2020-09-21 09:31,4745.6719,2020-09-21 09:31,6936.8396,2020-09-21 09:31,4794.4062,2020-09-21 09:31,6507.8562,2020-09-21 09:31,5035.2162,2020-09-21 09:31,13268.1258,2020-09-21 09:31,7780.4236,2020-09-21 09:31,8840.1775,2020-09-21 09:31,2602.3855,2020-09-21 09:31,1659.3388,2020-09-21 09:31,3659.3698,2020-09-21 09:31,12456.8716,2020-09-21 09:31,3040.0128,2020-09-21 09:31,2222.2535,2020-09-21 09:31,2325.7642,2020-09-21 09:31,957.4968,2020-09-21 09:31,5987.9466,2020-09-21 09:31,6932.5523
2020-09-21 09:32,3344.6321,2020-09-21 09:32,3505.4092,2020-09-21 09:32,252.1761,2020-09-21 09:32,5851.2010,2020-09-21 09:32,9901.1352,2020-09-21 09:32,2632.7563,2020-09-21 09:32,3353.9885,2020-09-21 09:32,4743.1313,2020-09-21 09:32,6935.4672,2020-09-21 09:32,4789.7508,2020-09-21 09:32,6512.7056,2020-09-21 09:32,5034.0962,2020-09-21 09:32,13274.7837,2020-09-21 09:32,7782.1451,2020-09-21 09:32,8847.5070,2020-09-21 09:32,2605.1827,2020-09-21 09:32,1660.4521,2020-09-21 09:32,3662.1213,2020-09-21 09:32,12459.1917,2020-09-21 09:32,3042.6262,2020-09-21 09:32,2222.4776,2020-09-21 09:32,2326.0000,2020-09-21 09:32,957.2528,2020-09-21 09:32,5989.2716,2020-09-21 09:32,6936.3626
2020-09-21 09:33,3343.2414,2020-09-21 09:33,3503.9406,2020-09-21 09:33,252.4978,2020-09-21 09:33,5850.9726,2020-09-21 09:33,9892.7562,2020-09-21 09:33,2631.1941,2020-09-21 09:33,3350.8289,2020-09-21 09:33,4738.1076,2020-09-21 09:33,6940.3036,2020-09-21 09:33,4783.7432,2020-09-21 09:33,6513.6110,2020-09-21 09:33,5030.2396,2020-09-21 09:33,13267.3981,2020-09-21 09:33,7772.6913,2020-09-21 09:33,8843.3131,2020-09-21 09:33,2603.0735,2020-09-21 09:33,1659.9055,2020-09-21 09:33,3662.3569,2020-09-21 09:33,12456.6797,2020-09-21 09:33,3044.0296,2020-09-21 09:33,2221.9311,2020-09-21 09:33,2325.4302,2020-09-21 09:33,956.4331,2020-09-21 09:33,5981.9957,2020-09-21 09:33,6930.9586
2020-09-21 09:34,3338.7312,2020-09-21 09:34,3499.2074,2020-09-21 09:34,252.3981,2020-09-21 09:34,5845.8356,2020-09-21 09:34,9877.4888,2020-09-21 09:34,2628.2868,2020-09-21 09:34,3345.9681,2020-09-21 09:34,4731.3043,2020-09-21 09:34,6937.8773,2020-09-21 09:34,4776.3718,2020-09-21 09:34,6507.1518,2020-09-21 09:34,5023.5639,2020-09-21 09:34,13254.0121,2020-09-21 09:34,7763.8071,2020-09-21 09:34,8831.3684,2020-09-21 09:34,2602.7247,2020-09-21 09:34,1658.2388,2020-09-21 09:34,3662.0834,2020-09-21 09:34,12446.8061,2020-09-21 09:34,3044.0737,2020-09-21 09:34,2220.3375,2020-09-21 09:34,2323.7589,2020-09-21 09:34,956.7119,2020-09-21 09:34,5975.1583,2020-09-21 09:34,6923.3269
2020-09-21 09:35,3341.2478,2020-09-21 09:35,3501.8520,2020-09-21 09:35,252.3153,2020-09-21 09:35,5850.3303,2020-09-21 09:35,9887.1863,2020-09-21 09:35,2629.6023,2020-09-21 09:35,3348.6507,2020-09-21 09:35,4737.3705,2020-09-21 09:35,6953.4690,2020-09-21 09:35,4780.6539,2020-09-21 09:35,6514.9420,2020-09-21 09:35,5029.9003,2020-09-21 09:35,13280.2634,2020-09-21 09:35,7777.8074,2020-09-21 09:35,8854.5897,2020-09-21 09:35,2607.3383,2020-09-21 09:35,1662.2388,2020-09-21 09:35,3670.8914,2020-09-21 09:35,12472.7180,2020-09-21 09:35,3051.5533,2020-09-21 09:35,2224.4749,2020-09-21 09:35,2328.0963,2020-09-21 09:35,956.5395,2020-09-21 09:35,5985.9332,2020-09-21 09:35,6936.7502
2020-09-21 09:36,3336.1937,2020-09-21 09:36,3496.5461,2020-09-21 09:36,252.2759,2020-09-21 09:36,5840.5863,2020-09-21 09:36,9865.8397,2020-09-21 09:36,2627.1202,2020-09-21 09:36,3341.4866,2020-09-21 09:36,4728.3884,2020-09-21 09:36,6947.7829,2020-09-21 09:36,4771.2426,2020-09-21 09:36,6503.0678,2020-09-21 09:36,5020.4540,2020-09-21 09:36,13258.2952,2020-09-21 09:36,7763.3960,2020-09-21 09:36,8841.5711,2020-09-21 09:36,2600.1291,2020-09-21 09:36,1660.3399,2020-09-21 09:36,3662.3350,2020-09-21 09:36,12459.2763,2020-09-21 09:36,3046.7179,2020-09-21 09:36,2221.6643,2020-09-21 09:36,2325.1548,2020-09-21 09:36,955.3194,2020-09-21 09:36,5974.8419,2020-09-21 09:36,6924.3105
2020-09-21 09:37,3332.4594,2020-09-21 09:37,3492.6253,2020-09-21 09:37,252.2663,2020-09-21 09:37,5835.7487,2020-09-21 09:37,9852.8601,2020-09-21 09:37,2624.8879,2020-09-21 09:37,3337.3145,2020-09-21 09:37,4722.7968,2020-09-21 09:37,6943.0004,2020-09-21 09:37,4765.5093,2020-09-21 09:37,6496.1555,2020-09-21 09:37,5014.6640,2020-09-21 09:37,13245.3796,2020-09-21 09:37,7754.9140,2020-09-21 09:37,8834.6627,2020-09-21 09:37,2598.1385,2020-09-21 09:37,1658.9273,2020-09-21 09:37,3659.6110,2020-09-21 09:37,12449.0497,2020-09-21 09:37,3044.2620,2020-09-21 09:37,2219.4990,2020-09-21 09:37,2322.8781,2020-09-21 09:37,957.1907,2020-09-21 09:37,5968.3140,2020-09-21 09:37,6917.8498
2020-09-21 09:38,3336.4973,2020-09-21 09:38,3496.8669,2020-09-21 09:38,252.1983,2020-09-21 09:38,5836.5243,2020-09-21 09:38,9865.7043,2020-09-21 09:38,2625.8326,2020-09-21 09:38,3341.5916,2020-09-21 09:38,4729.2002,2020-09-21 09:38,6948.5201,2020-09-21 09:38,4771.9871,2020-09-21 09:38,6497.9410,2020-09-21 09:38,5020.1355,2020-09-21 09:38,13259.4089,2020-09-21 09:38,7765.7953,2020-09-21 09:38,8845.3614,2020-09-21 09:38,2598.2165,2020-09-21 09:38,1660.7000,2020-09-21 09:38,3660.8886,2020-09-21 09:38,12461.0440,2020-09-21 09:38,3046.0516,2020-09-21 09:38,2221.5445,2020-09-21 09:38,2325.0230,2020-09-21 09:38,956.9757,2020-09-21 09:38,5976.6884,2020-09-21 09:38,6925.3808
2020-09-21 09:39,3336.1596,2020-09-21 09:39,3496.5145,2020-09-21 09:39,252.1142,2020-09-21 09:39,5834.3349,2020-09-21 09:39,9862.0720,2020-09-21 09:39,2626.7658,2020-09-21 09:39,3340.7538,2020-09-21 09:39,4727.0096,2020-09-21 09:39,6947.2939,2020-09-21 09:39,4770.3369,2020-09-21 09:39,6493.1447,2020-09-21 09:39,5017.4724,2020-09-21 09:39,13247.0891,2020-09-21 09:39,7756.2804,2020-09-21 09:39,8835.1451,2020-09-21 09:39,2594.8743,2020-09-21 09:39,1659.0737,2020-09-21 09:39,3657.0453,2020-09-21 09:39,12450.3282,2020-09-21 09:39,3043.3840,2020-09-21 09:39,2219.7012,2020-09-21 09:39,2323.0903,2020-09-21 09:39,957.1090,2020-09-21 09:39,5969.3657,2020-09-21 09:39,6918.4588
