Date,UID,2020/9/17,2020/9/18,Equal
Date,UID,Close,PreClose,FALSE
2020/9/18,000423.SZ,40.8,40.8,TRUE
2020/9/18,000425.SZ,6.06,6.06,TRUE
2020/9/18,000426.SZ,7.38,7.38,TRUE
2020/9/18,000428.SZ,3.87,3.87,TRUE
2020/9/18,000429.SZ,6.93,6.93,TRUE
2020/9/18,000430.SZ,5.89,5.89,TRUE
2020/9/18,000488.SZ,5.61,5.61,TRUE
2020/9/18,000498.SZ,5.42,5.42,TRUE
2020/9/18,000501.SZ,16.01,16.01,TRUE
2020/9/18,000502.SZ,7.28,7.28,TRUE
2020/9/18,000503.SZ,11.47,11.47,TRUE
2020/9/18,000504.SZ,14.53,14.53,TRUE
2020/9/18,000505.SZ,10.15,10.15,TRUE
2020/9/18,000506.SZ,2.76,2.76,TRUE
2020/9/18,000507.SZ,5.74,5.74,TRUE
2020/9/18,000509.SZ,2.2,2.2,TRUE
2020/9/18,000510.SZ,4.26,4.26,TRUE
2020/9/18,000513.SZ,47.39,47.39,TRUE
2020/9/18,000514.SZ,4.07,4.07,TRUE
2020/9/18,000516.SZ,7.04,7.04,TRUE
2020/9/18,000517.SZ,2.93,2.93,TRUE
2020/9/18,000518.SZ,4.66,4.66,TRUE
2020/9/18,000519.SZ,10.12,10.12,TRUE
2020/9/18,000520.SZ,3.62,3.62,TRUE
2020/9/18,000521.SZ,3.16,3.16,TRUE
2020/9/18,000523.SZ,5.86,5.86,TRUE
2020/9/18,000524.SZ,9.44,9.44,TRUE
2020/9/18,000525.SZ,7.42,7.42,TRUE
2020/9/18,000526.SZ,59.79,59.79,TRUE
2020/9/18,000528.SZ,7.72,7.72,TRUE
2020/9/18,000529.SZ,7.71,7.71,TRUE
2020/9/18,000530.SZ,3.77,3.77,TRUE
2020/9/18,000531.SZ,9.11,9.11,TRUE
2020/9/18,000532.SZ,11.64,11.64,TRUE
2020/9/18,000533.SZ,3.15,3.15,TRUE
2020/9/18,000534.SZ,12.28,12.28,TRUE
2020/9/18,000536.SZ,2.08,2.08,TRUE
2020/9/18,000537.SZ,7.37,7.37,TRUE
2020/9/18,000538.SZ,105.99,105.99,TRUE
2020/9/18,000539.SZ,3.86,3.86,TRUE
2020/9/18,000540.SZ,3.4,3.4,TRUE
2020/9/18,000541.SZ,5.7,5.7,TRUE
2020/9/18,000543.SZ,4.28,4.28,TRUE
2020/9/18,000544.SZ,6.92,6.92,TRUE
2020/9/18,000545.SZ,2.66,2.66,TRUE
2020/9/18,000546.SZ,8.95,8.95,TRUE
2020/9/18,000547.SZ,18.97,18.97,TRUE
2020/9/18,000548.SZ,4.19,4.19,TRUE
2020/9/18,000550.SZ,17,17,TRUE
2020/9/18,000551.SZ,8.96,8.96,TRUE
2020/9/18,000552.SZ,2.66,2.66,TRUE
2020/9/18,000553.SZ,8.99,8.99,TRUE
2020/9/18,000554.SZ,4.76,4.76,TRUE
2020/9/18,000555.SZ,17.12,17.12,TRUE
2020/9/18,000557.SZ,3.49,3.49,TRUE
2020/9/18,000558.SZ,2.87,2.87,TRUE
2020/9/18,000559.SZ,5.74,5.74,TRUE
2020/9/18,000560.SZ,4.02,4.02,TRUE
2020/9/18,000561.SZ,7.96,7.96,TRUE
2020/9/18,000563.SZ,3.83,3.83,TRUE
2020/9/18,000564.SZ,3.16,3.16,TRUE
2020/9/18,000565.SZ,5.14,5.14,TRUE
2020/9/18,000566.SZ,10.45,10.45,TRUE
2020/9/18,000567.SZ,10.86,10.86,TRUE
2020/9/18,000568.SZ,140,140,TRUE
2020/9/18,000570.SZ,4.83,4.83,TRUE
2020/9/18,000571.SZ,3.78,3.78,TRUE
2020/9/18,000572.SZ,2.98,2.98,TRUE
2020/9/18,000573.SZ,2.93,2.93,TRUE
2020/9/18,000576.SZ,10.86,10.86,TRUE
2020/9/18,000581.SZ,23.95,23.95,TRUE
2020/9/18,000582.SZ,10.94,10.94,TRUE
2020/9/18,000584.SZ,6.14,6.14,TRUE
2020/9/18,000585.SZ,1.68,1.68,TRUE
2020/9/18,000586.SZ,8.7,8.7,TRUE
2020/9/18,000587.SZ,1.45,1.45,TRUE
2020/9/18,000589.SZ,5.8,5.8,TRUE
2020/9/18,000590.SZ,9.9,9.9,TRUE
2020/9/18,000591.SZ,4.56,4.56,TRUE
2020/9/18,000592.SZ,3.33,3.33,TRUE
2020/9/18,000593.SZ,5.2,5.2,TRUE
2020/9/18,000595.SZ,2.3,2.3,TRUE
2020/9/18,000596.SZ,224.77,224.77,TRUE
2020/9/18,000597.SZ,6.26,6.26,TRUE
2020/9/18,000598.SZ,5.1,5.1,TRUE
2020/9/18,000599.SZ,4.51,4.51,TRUE
2020/9/18,000600.SZ,5.21,5.21,TRUE
2020/9/18,000601.SZ,6.57,6.57,TRUE
2020/9/18,000603.SZ,14.91,14.91,TRUE
2020/9/18,000605.SZ,6.36,6.36,TRUE
2020/9/18,000606.SZ,4.06,4.06,TRUE
2020/9/18,000607.SZ,4.18,4.18,TRUE
2020/9/18,000608.SZ,4.35,4.35,TRUE
2020/9/18,000609.SZ,5.63,5.63,TRUE
2020/9/18,000610.SZ,10.78,10.78,TRUE
2020/9/18,000611.SZ,3.47,3.47,TRUE
2020/9/18,000612.SZ,6.27,6.27,TRUE
2020/9/18,000613.SZ,6.67,6.67,TRUE
2020/9/18,000615.SZ,4.26,4.26,TRUE
2020/9/18,000616.SZ,3.19,3.19,TRUE
2020/9/18,000617.SZ,6.87,6.87,TRUE
2020/9/18,000619.SZ,6.26,6.26,TRUE
2020/9/18,000620.SZ,3.7,3.7,TRUE
2020/9/18,000622.SZ,4.01,4.01,TRUE
2020/9/18,000623.SZ,17.06,17.06,TRUE
2020/9/18,000625.SZ,14.96,14.96,TRUE
2020/9/18,000626.SZ,7.03,7.03,TRUE
2020/9/18,000627.SZ,5.3,5.3,TRUE
2020/9/18,000628.SZ,8.45,8.45,TRUE
2020/9/18,000629.SZ,2.15,2.15,TRUE
2020/9/18,000630.SZ,2.28,2.28,TRUE
2020/9/18,000631.SZ,2.83,2.83,TRUE
2020/9/18,000632.SZ,4.38,4.38,TRUE
2020/9/18,000633.SZ,4.47,4.47,TRUE
2020/9/18,000635.SZ,7.71,7.71,TRUE
2020/9/18,000636.SZ,27.66,27.66,TRUE
2020/9/18,000637.SZ,4.36,4.36,TRUE
2020/9/18,000638.SZ,6.48,6.48,TRUE
2020/9/18,000639.SZ,6.18,6.18,TRUE
2020/9/18,000650.SZ,6.23,6.23,TRUE
2020/9/18,000651.SZ,54.8,54.8,TRUE
2020/9/18,000652.SZ,5.3,5.3,TRUE
2020/9/18,000655.SZ,6.31,6.31,TRUE
2020/9/18,000656.SZ,10.02,10.02,TRUE
2020/9/18,000657.SZ,7.1,7.1,TRUE
2020/9/18,000659.SZ,2.45,2.45,TRUE
2020/9/18,000661.SZ,363,363,TRUE
2020/9/18,000662.SZ,1.53,1.53,TRUE
2020/9/18,000663.SZ,3.94,3.94,TRUE
2020/9/18,000665.SZ,5.16,5.16,TRUE
2020/9/18,000666.SZ,9.35,9.35,TRUE
2020/9/18,000667.SZ,3.84,3.84,TRUE
2020/9/18,000668.SZ,19.22,19.22,TRUE
2020/9/18,000669.SZ,1.79,1.79,TRUE
2020/9/18,000670.SZ,2.25,2.25,TRUE
2020/9/18,000671.SZ,7.77,7.77,TRUE
2020/9/18,000672.SZ,25.83,25.83,TRUE
2020/9/18,000673.SZ,1.61,1.61,TRUE
2020/9/18,000676.SZ,7.34,7.34,TRUE
2020/9/18,000677.SZ,3.06,3.06,TRUE
2020/9/18,000678.SZ,5.36,5.36,TRUE
2020/9/18,000679.SZ,3.73,3.73,TRUE
2020/9/18,000680.SZ,3.8,3.8,TRUE
2020/9/18,000681.SZ,16.39,16.39,TRUE
2020/9/18,000682.SZ,5.08,5.08,TRUE
2020/9/18,000683.SZ,2.55,2.55,TRUE
2020/9/18,000685.SZ,8.45,8.45,TRUE
2020/9/18,000686.SZ,9.72,9.72,TRUE
2020/9/18,000687.SZ,2.09,2.09,TRUE
2020/9/18,000688.SZ,23.15,23.15,TRUE
2020/9/18,000690.SZ,6.69,6.69,TRUE
2020/9/18,000691.SZ,5.31,5.31,TRUE
2020/9/18,000692.SZ,3.09,3.09,TRUE
2020/9/18,000695.SZ,8.75,8.75,TRUE
2020/9/18,000697.SZ,10.91,10.91,TRUE
2020/9/18,000698.SZ,5.47,5.47,TRUE
2020/9/18,000700.SZ,6.84,6.84,TRUE
2020/9/18,000701.SZ,6.01,6.01,TRUE
2020/9/18,000702.SZ,5.72,5.72,TRUE
2020/9/18,000703.SZ,11.76,11.76,TRUE
2020/9/18,000705.SZ,8.2,8.2,TRUE
2020/9/18,000707.SZ,2.69,2.69,TRUE
2020/9/18,000708.SZ,17.43,17.43,TRUE
2020/9/18,000709.SZ,2.2,2.2,TRUE
2020/9/18,000710.SZ,55.59,55.59,TRUE
2020/9/18,000711.SZ,3.35,3.35,TRUE
2020/9/18,000712.SZ,13.8,13.8,TRUE
2020/9/18,000713.SZ,10.76,10.76,TRUE
2020/9/18,000715.SZ,6.4,6.4,TRUE
2020/9/18,000716.SZ,3.82,3.82,TRUE
2020/9/18,000717.SZ,4.2,4.2,TRUE
2020/9/18,000718.SZ,3.33,3.33,TRUE
2020/9/18,000719.SZ,7.97,7.97,TRUE
2020/9/18,000720.SZ,4.01,4.01,TRUE
2020/9/18,000721.SZ,5.08,5.08,TRUE
2020/9/18,000722.SZ,7.1,7.1,TRUE
2020/9/18,000723.SZ,6.69,6.69,TRUE
2020/9/18,000725.SZ,5.23,5.23,TRUE
2020/9/18,000726.SZ,7.56,7.56,TRUE
2020/9/18,000727.SZ,2.88,2.88,TRUE
2020/9/18,000728.SZ,9.7,9.7,TRUE
2020/9/18,000729.SZ,7.62,7.62,TRUE
2020/9/18,000731.SZ,5.24,5.24,TRUE
2020/9/18,000732.SZ,5.09,5.09,TRUE
2020/9/18,000733.SZ,42.67,42.67,TRUE
2020/9/18,000735.SZ,10.18,10.18,TRUE
2020/9/18,000736.SZ,7.03,7.03,TRUE
2020/9/18,000737.SZ,3.73,3.73,TRUE
2020/9/18,000738.SZ,19.83,19.83,TRUE
2020/9/18,000739.SZ,23.92,23.92,TRUE
2020/9/18,000750.SZ,5.07,5.07,TRUE
2020/9/18,000751.SZ,2.89,2.89,TRUE
2020/9/18,000752.SZ,3.61,3.61,TRUE
2020/9/18,000753.SZ,3.17,3.17,TRUE
2020/9/18,000755.SZ,3.76,3.76,TRUE
2020/9/18,000756.SZ,9.54,9.54,TRUE
2020/9/18,000757.SZ,4.56,4.56,TRUE
2020/9/18,000758.SZ,4.78,4.78,TRUE
2020/9/18,000759.SZ,6.64,6.64,TRUE
2020/9/18,000760.SZ,1.47,1.47,TRUE
2020/9/18,000761.SZ,3.42,3.42,TRUE
2020/9/18,000762.SZ,8.6,8.6,TRUE
2020/9/18,000766.SZ,4.83,4.83,TRUE
2020/9/18,000767.SZ,2.5,2.5,TRUE
2020/9/18,000768.SZ,21.93,21.93,TRUE
2020/9/18,000776.SZ,15.76,15.76,TRUE
2020/9/18,000777.SZ,12.88,12.88,TRUE
2020/9/18,000778.SZ,3.73,3.73,TRUE
2020/9/18,000779.SZ,10.7,10.7,TRUE
2020/9/18,000780.SZ,2.63,2.63,TRUE
2020/9/18,000782.SZ,3.55,3.55,TRUE
2020/9/18,000783.SZ,7.89,7.89,TRUE
2020/9/18,000785.SZ,8.57,8.57,TRUE
2020/9/18,000786.SZ,33.88,33.88,TRUE
2020/9/18,000788.SZ,6.85,6.85,TRUE
2020/9/18,000789.SZ,15.92,15.92,TRUE
2020/9/18,000790.SZ,5.31,5.31,TRUE
2020/9/18,000791.SZ,3.53,3.53,TRUE
2020/9/18,000792.SZ,8.84,8.84,TRUE
2020/9/18,000793.SZ,3.14,3.14,TRUE
2020/9/18,000795.SZ,5.86,5.86,TRUE
2020/9/18,000796.SZ,16.68,16.68,TRUE
2020/9/18,000797.SZ,3.75,3.75,TRUE
2020/9/18,000798.SZ,6.68,6.68,TRUE
2020/9/18,000799.SZ,84.58,84.58,TRUE
2020/9/18,000800.SZ,14.67,14.67,TRUE
2020/9/18,000801.SZ,5.86,5.86,TRUE
2020/9/18,000802.SZ,9.12,9.12,TRUE
2020/9/18,000803.SZ,15.66,15.66,TRUE
2020/9/18,000806.SZ,1.56,1.56,TRUE
2020/9/18,000807.SZ,5.54,5.54,TRUE
2020/9/18,000809.SZ,2.34,2.34,TRUE
2020/9/18,000810.SZ,10.14,10.14,TRUE
2020/9/18,000811.SZ,6.99,6.99,TRUE
2020/9/18,000812.SZ,3.22,3.22,TRUE
2020/9/18,000813.SZ,6.33,6.33,TRUE
2020/9/18,000815.SZ,6.85,6.85,TRUE
2020/9/18,000816.SZ,1.45,1.45,TRUE
2020/9/18,000818.SZ,22.38,22.38,TRUE
2020/9/18,000819.SZ,7.51,7.51,TRUE
2020/9/18,000820.SZ,1.17,1.17,TRUE
2020/9/18,000821.SZ,6.36,6.36,TRUE
2020/9/18,000822.SZ,4.07,4.07,TRUE
2020/9/18,000823.SZ,14.66,14.66,TRUE
2020/9/18,000825.SZ,3.8,3.8,TRUE
2020/9/18,000826.SZ,7.87,7.87,TRUE
2020/9/18,000828.SZ,9.61,9.61,TRUE
2020/9/18,000829.SZ,6.78,6.78,TRUE
2020/9/18,000830.SZ,9.4,9.4,TRUE
2020/9/18,000831.SZ,13.15,13.15,TRUE
2020/9/18,000833.SZ,4.89,4.89,TRUE
2020/9/18,000835.SZ,2.07,2.07,TRUE
2020/9/18,000836.SZ,3.34,3.34,TRUE
2020/9/18,000837.SZ,5.51,5.51,TRUE
2020/9/18,000838.SZ,3.27,3.27,TRUE
2020/9/18,000839.SZ,2.69,2.69,TRUE
2020/9/18,000848.SZ,7.51,7.51,TRUE
2020/9/18,000850.SZ,3.81,3.81,TRUE
2020/9/18,000851.SZ,7,7,TRUE
2020/9/18,000852.SZ,4.95,4.95,TRUE
2020/9/18,000856.SZ,8.88,8.88,TRUE
2020/9/18,000858.SZ,222.65,222.65,TRUE
2020/9/18,000859.SZ,5.54,5.54,TRUE
2020/9/18,000860.SZ,65.98,65.98,TRUE
2020/9/18,000861.SZ,3.54,3.54,TRUE
2020/9/18,000862.SZ,3.96,3.96,TRUE
2020/9/18,000863.SZ,4.06,4.06,TRUE
2020/9/18,000868.SZ,3.45,3.45,TRUE
2020/9/18,000869.SZ,31.8,31.8,TRUE
2020/9/18,000875.SZ,4.07,4.07,TRUE
2020/9/18,000876.SZ,28.65,28.65,TRUE
2020/9/18,000877.SZ,19.14,19.14,TRUE
2020/9/18,000878.SZ,13.7,13.7,TRUE
2020/9/18,000880.SZ,9.63,9.63,TRUE
2020/9/18,000881.SZ,9.32,9.32,TRUE
2020/9/18,000882.SZ,2.05,2.05,TRUE
2020/9/18,000883.SZ,3.87,3.87,TRUE
2020/9/18,000885.SZ,10.62,10.62,TRUE
2020/9/18,000886.SZ,5.71,5.71,TRUE
2020/9/18,000887.SZ,11.15,11.15,TRUE
2020/9/18,000888.SZ,6.44,6.44,TRUE
2020/9/18,000889.SZ,6.95,6.95,TRUE
2020/9/18,000890.SZ,2.54,2.54,TRUE
2020/9/18,000892.SZ,3.81,3.81,TRUE
2020/9/18,000893.SZ,8.6,8.6,TRUE
2020/9/18,000895.SZ,51.19,51.19,TRUE
2020/9/18,000897.SZ,2.69,2.69,TRUE
2020/9/18,000898.SZ,2.67,2.67,TRUE
2020/9/18,000899.SZ,4.55,4.55,TRUE
2020/9/18,000900.SZ,3.83,3.83,TRUE
2020/9/18,000901.SZ,11.17,11.17,TRUE
2020/9/18,000902.SZ,11.6,11.6,TRUE
2020/9/18,000903.SZ,6.52,6.52,TRUE
2020/9/18,000905.SZ,6.81,6.81,TRUE
2020/9/18,000906.SZ,7.18,7.18,TRUE
2020/9/18,000908.SZ,5.26,5.26,TRUE
2020/9/18,000909.SZ,8.39,8.39,TRUE
2020/9/18,000910.SZ,19.15,19.15,TRUE
2020/9/18,000911.SZ,8.42,8.42,TRUE
2020/9/18,000912.SZ,4.3,4.3,TRUE
2020/9/18,000913.SZ,24.96,24.96,TRUE
2020/9/18,000915.SZ,27.16,27.16,TRUE
2020/9/18,000917.SZ,6.34,6.34,TRUE
2020/9/18,000918.SZ,4.98,4.98,TRUE
2020/9/18,000919.SZ,6.72,6.72,TRUE
2020/9/18,000920.SZ,8.34,8.34,TRUE
2020/9/18,000921.SZ,13.35,13.35,TRUE
2020/9/18,000922.SZ,6.83,6.83,TRUE
2020/9/18,000923.SZ,12.73,12.73,TRUE
2020/9/18,000925.SZ,8.18,8.18,TRUE
2020/9/18,000926.SZ,5.58,5.58,TRUE
2020/9/18,000927.SZ,4.2,4.2,TRUE
2020/9/18,000928.SZ,4.23,4.23,TRUE
2020/9/18,000929.SZ,8.93,8.93,TRUE
2020/9/18,000930.SZ,8.73,8.73,TRUE
2020/9/18,000931.SZ,8.56,8.56,TRUE
2020/9/18,000932.SZ,5.21,5.21,TRUE
2020/9/18,000933.SZ,4.93,4.93,TRUE
2020/9/18,000935.SZ,14.33,14.33,TRUE
2020/9/18,000936.SZ,8.87,8.87,TRUE
2020/9/18,000937.SZ,3.94,3.94,TRUE
2020/9/18,000938.SZ,27.79,27.79,TRUE
2020/9/18,000939.SZ,1.05,1.05,TRUE
2020/9/18,000948.SZ,12.99,12.99,TRUE
2020/9/18,000949.SZ,3.27,3.27,TRUE
2020/9/18,000950.SZ,5.43,5.43,TRUE
2020/9/18,000951.SZ,40.07,40.07,TRUE
2020/9/18,000952.SZ,8.6,8.6,TRUE
2020/9/18,000953.SZ,4.97,4.97,TRUE
2020/9/18,000955.SZ,8.82,8.82,TRUE
2020/9/18,000957.SZ,7.71,7.71,TRUE
2020/9/18,000958.SZ,4.77,4.77,TRUE
2020/9/18,000959.SZ,4.33,4.33,TRUE
2020/9/18,000960.SZ,9.24,9.24,TRUE
2020/9/18,000961.SZ,9.63,9.63,TRUE
2020/9/18,000962.SZ,7.94,7.94,TRUE
2020/9/18,000963.SZ,24.24,24.24,TRUE
2020/9/18,000965.SZ,3.33,3.33,TRUE
2020/9/18,000966.SZ,3.8,3.8,TRUE
2020/9/18,000967.SZ,8.3,8.3,TRUE
2020/9/18,000968.SZ,8.2,8.2,TRUE
2020/9/18,000969.SZ,6.96,6.96,TRUE
2020/9/18,000970.SZ,9.74,9.74,TRUE
2020/9/18,000971.SZ,2.59,2.59,TRUE
2020/9/18,000972.SZ,2.63,2.63,TRUE
2020/9/18,000973.SZ,4.87,4.87,TRUE
2020/9/18,000975.SZ,15.01,15.01,TRUE
2020/9/18,000976.SZ,6.4,6.4,TRUE
2020/9/18,000977.SZ,31.81,31.81,TRUE
2020/9/18,000978.SZ,5.5,5.5,TRUE
2020/9/18,000980.SZ,1.47,1.47,TRUE
2020/9/18,000981.SZ,1.97,1.97,TRUE
2020/9/18,000982.SZ,1.2,1.2,TRUE
2020/9/18,000983.SZ,4.21,4.21,TRUE
2020/9/18,000985.SZ,14.76,14.76,TRUE
2020/9/18,000987.SZ,17.15,17.15,TRUE
2020/9/18,000988.SZ,23.66,23.66,TRUE
2020/9/18,000989.SZ,9.1,9.1,TRUE
2020/9/18,000990.SZ,14.39,14.39,TRUE
2020/9/18,000993.SZ,6.59,6.59,TRUE
2020/9/18,000995.SZ,7.47,7.47,TRUE
2020/9/18,000996.SZ,8.79,8.79,TRUE
2020/9/18,000997.SZ,17.05,17.05,TRUE
2020/9/18,000998.SZ,18.88,18.88,TRUE
2020/9/18,000999.SZ,26.54,26.54,TRUE
2020/9/18,001696.SZ,8.35,8.35,TRUE
2020/9/18,001872.SZ,15.45,15.45,TRUE
2020/9/18,001896.SZ,3.79,3.79,TRUE
2020/9/18,001914.SZ,26.65,26.65,TRUE
2020/9/18,001965.SZ,6.94,6.94,TRUE
2020/9/18,001979.SZ,15.5,15.5,TRUE
2020/9/18,002001.SZ,30.8,30.8,TRUE
2020/9/18,002002.SZ,4.24,4.24,TRUE
2020/9/18,002003.SZ,6.21,6.21,TRUE
2020/9/18,002004.SZ,5.26,5.26,TRUE
2020/9/18,002005.SZ,1.3,1.3,TRUE
2020/9/18,002006.SZ,5.8,5.8,TRUE
2020/9/18,002007.SZ,47.62,47.62,TRUE
2020/9/18,002008.SZ,35.31,35.31,TRUE
2020/9/18,002009.SZ,8.94,8.94,TRUE
2020/9/18,002010.SZ,6.36,6.36,TRUE
2020/9/18,002011.SZ,3.86,3.86,TRUE
2020/9/18,002012.SZ,6.29,6.29,TRUE
2020/9/18,002013.SZ,11.06,11.06,TRUE
2020/9/18,002014.SZ,11.18,11.18,TRUE
2020/9/18,002015.SZ,5.61,5.61,TRUE
2020/9/18,002016.SZ,6.85,6.85,TRUE
2020/9/18,002017.SZ,11.72,11.72,TRUE
2020/9/18,002019.SZ,26.09,26.09,TRUE
2020/9/18,002020.SZ,11.38,11.38,TRUE
2020/9/18,002021.SZ,2.64,2.64,TRUE
2020/9/18,002022.SZ,17.65,17.65,TRUE
2020/9/18,002023.SZ,16.28,16.28,TRUE
2020/9/18,002024.SZ,9.21,9.21,TRUE
2020/9/18,002025.SZ,47.47,47.47,TRUE
2020/9/18,002026.SZ,10.67,10.67,TRUE
2020/9/18,002027.SZ,7.63,7.63,TRUE
2020/9/18,002028.SZ,24.75,24.75,TRUE
2020/9/18,002029.SZ,5.87,5.87,TRUE
